"Name","School","Rating"
"Debora dos Santos","San Francisco Dons",69.4
"Morgann Gardner","Omaha Mavericks",69.4
"Albany Wilson","Erskine Flying Fleet",69.4
"Emme Boots","Goshen Maple Leafs",69.4
"Loy Waid","Northwest Nazarene Nighthawks",69.4
"Courtney Ogden","Stanford Cardinal",69.4
"McKenzie Stewart","Delaware State Hornets",69.4
"Taniya McGowan","South Carolina State Lady Bulldogs",69.4
"Morgan Kelson","Livingstone Blue Bears",69.4
"Lanie Grant","North Carolina Tar Heels",69.4
"Me'Arah O'Neal","Florida Gators",69.4
"Ryann Bennett","UC Davis Aggies",69.4
"Mir McLean","Maryland Terrapins",69.3
"Emilee Tahata","Rider Broncs",69.3
"Mia Flor","Wofford Terriers",69.3
"Leilani Augmon","Houston Cougars",69.3
"Sitota Gines","Buffalo Bulls",69.3
"Kamari Sims","George Washington Revolutionaries",69.3
"Riley Stack","Coastal Carolina Chanticleers",69.3
"Bella McLaughlin","Boston University Terriers",69.3
"Shakara McCline","DePaul Blue Demons",69.3
"Mary Ashley Stevenson","Stanford Cardinal",69.3
"Elsie Harris","Jacksonville State Gamecocks",69.3
"Julia Corsentino","Marist Red Foxes",69.3
"Khila Morris","Troy Trojans",69.3
"Kylie Fleet","Paine Lions",69.3
"Makayla Blake","Saint Michael's Purple Knights",69.3
"Ornela Muca","Pepperdine Waves",69.2
"Ndjakalenga Mwenentanda","Texas Longhorns",69.2
"Marija Avlijas","Columbia Lions",69.2
"Malia Lenz","Vermont Catamounts",69.2
"Aaliyah Henderson","Texas Southern Tigers",69.2
"Arianna Patton","SE Louisiana Lady Lions",69.2
"Riley Holliday","Lincoln (PA) Lions",69.2
"Avery Mills","Liberty Flames",69.2
"Maria Sanchez Ponce","Jacksonville State Gamecocks",69.2
"Avery Kelley","Evansville Purple Aces",69.2
"Elise Livingston","Utah State Aggies",69.2
"Erin Martin","Tennessee State Lady Tigers",69.2
"Jasmine Jones","New Orleans Privateers",69.2
"Rose Morse","Cal State San Marcos Cougars",69.2
"Naj White","Post University Eagles",69.2
"Tayla Dalton","Gonzaga Bulldogs",69.1
"Catie Cunningham","Marist Red Foxes",69.1
"Sidney Richards","Cal Poly Mustangs",69.1
"Mya Miller","Columbia College (MO) Cougars",69.1
"Nina Minicozzi","Dartmouth Big Green",69.1
"Kristina Juric","Manhattan Jaspers",69.1
"Evangelina Parrish","Chicago State Cougars",69.1
"Alice Curman","Southern Illinois Salukis",69.1
"Nevaiah Bell-Tenner","Culver-Stockton Wildcats",69.1
"Royjeannae Graves","College Of Biblical Studies Ambassadors",69.1
"Dorothy Wiese","Staten Island Dolphins",69.1
"Shayeann Day-Wilson","LSU Tigers",69
"Jaye Haynes","Monmouth Hawks",69
"Maxine Engel","George Washington Revolutionaries",69
"Loghan Johnson","Texas Tech Lady Raiders",69
"Jalyssa Carrasco","Roosevelt Lakers",69
"Kylie Grassi","Bridgewater State (MA) Bears",69
"Tatum Greene","Boston College Eagles",69
"Clara Gonzalez Planella","Jacksonville State Gamecocks",69
"Tyreona Sibley","SE Louisiana Lady Lions",69
"Haylee Sethman","Simpson University (CA) Red Hawks",69
"Maliah Preston","Johnson & Wales (NC) Wildcats",69
"Shalayne Nagel","Dakota Wesleyan Tigers",69
"Skylar Groesbeck","Warner Pacific Knights",69
"Nataya Lockett","Eastern New Mexico Greyhounds",69
"Liza Karlen","Notre Dame Fighting Irish",68.9
"Grace Townsend","North Carolina Tar Heels",68.9
"Kaysia Woods","SMU Mustangs",68.9
"Esther Little","Gonzaga Bulldogs",68.9
"Julia Riley","Northern Colorado Bears",68.9
"Jazmyn Stone","Charleston Cougars",68.9
"Beth Nelson","Brown Bears",68.9
"Khloe Lemon","California Baptist Lancers",68.9
"Olivia Poulivaati","Nevada Wolf Pack",68.9
"Marina Artero","St. Francis (PA) Red Flash",68.9
"Mia Wysong","North Greenville Crusaders",68.9
"Cici Hernandez","Mercyhurst Lakers",68.9
"Caitlynn Jordan","Oklahoma Christian University Eagles",68.9
"Bella Larrison","Anderson (IN) Ravens",68.9
"Carmen Williams","Sacred Heart Pioneers",68.8
"Lauren Davenport","BYU Cougars",68.8
"MG Lymon","Loyola New Orleans Wolfpack",68.8
"Ella Lune","Eastern Illinois Panthers",68.8
"Tamara Christmas","Central Baptist College Mustangs",68.8
"Tori Younker","Corban University Warriors",68.8
"Julianna Walter","Guilford Quakers",68.8
"Sumer Lee","DePaul Blue Demons",68.8
"Azareya Kilgoe","Cornell Big Red",68.8
"Janae Tyler","Kent State Golden Flashes",68.8
"Austin Johnson","North Greenville Crusaders",68.8
"Emily Hall","Akron Zips",68.8
"Lexi Starr","Indiana-Southeast Grenadiers",68.8
"Taylor Smith","Frostburg State Bobcats",68.8
"Joerdan Thomas","St. Thomas (TX) Celts",68.8
"Aliyah Matharu","Baylor Bears",68.7
"Andrea Martinez","Gardner-Webb Runnin' Bulldogs",68.7
"Montaya Dew","Arizona Wildcats",68.7
"D'Shantae Edwards","Southern Jaguars",68.7
"Raiana Brown","Fairfield Stags",68.6
"Nia Howard","UNC Greensboro Spartans",68.6
"Adriana Shipp-Davis","Radford Highlanders",68.6
"Libby Privett","Wofford Terriers",68.6
"Emma Shumate","Michigan State Spartans",68.6
"Mya Hansen","Boise State Broncos",68.6
"Dakieren Turner","Maryland Eastern Shore Hawks",68.6
"Daniela Lopez","Xavier Musketeers",68.6
"Eleecia Carter","UAB Blazers",68.6
"Asha Walker","Chicago State Cougars",68.6
"Weronika Swojak","Warren Wilson Owls",68.6
"Lucia Noin","Central Connecticut Blue Devils",68.6
"Kyla Cruz Baez","Florida National Conquistadors",68.6
"Nekaya Williams","Edward Waters Tigers",68.6
"Cree Mcclemore","Texas College Steers",68.6
"Coryn Fromm","St. Francis (IL) Fighting Saints",68.6
"Sami Kim","Walsh Cavaliers",68.6
"Caitlin Travis","Loyola New Orleans Wolfpack",68.6
"Luka Malinka","Roosevelt Lakers",68.6
"Sophie Costello","Rensselaer Engineers",68.6
"Anna Garfield","Bethel (MN) Royals",68.6
"Cami Fulcher","San Francisco Dons",68.5
"Sylvia Kahoro","Berry Vikings",68.5
"Nyah Lowery","Pacific Tigers",68.5
"Diana Collins","Alabama Crimson Tide",68.5
"Emily Strachan","Cal State Fullerton Titans",68.5
"T'Aaliyah Miner","Lamar Cardinals",68.5
"Morgon Webb","Coastal Georgia Mariners",68.5
"Nia Green","Morgan State Lady Bears",68.5
"Jabrica Leslie","Clinton College Golden Bears",68.5
"Jourdyn Wynn","Defiance Yellow Jackets",68.5
"La'Niya Simes","Winston-Salem Rams",68.5
"Caitlyn Panuco","Howard Payne Yellow Jackets",68.5
"Keimarya Rivera","Oglethorpe Stormy Petrels",68.5
"Nia Jordan","Prairie View A&M Lady Panthers",68.4
"Molly Sheehan","SIU Edwardsville Cougars",68.4
"Dasiya Jones","Colorado Christian Cougars",68.4
"Julianna Gibson","St. Francis (PA) Red Flash",68.4
"O'Mariyah Tucker","Alabama State Lady Hornets",68.4
"Demonnie Lagway","Cal State Fullerton Titans",68.4
"Azjah Reeves","McNeese Cowgirls",68.4
"Kayla Lorenz","UT Rio Grande Valley Vaqueros",68.4
"Anna Camden","Richmond Spiders",68.3
"Crystin Guy","Blue Mountain College Toppers",68.3
"Sierra Johnson","Sacred Heart Pioneers",68.3
"Harris Robinson","St. Francis (PA) Red Flash",68.3
"Michiyah Simmons","South Alabama Jaguars",68.3
"Chloe Briggs","Washington Huskies",68.3
"Kyah Smith","Navy Midshipmen",68.3
"Kyla Smith","Trinity Christian (IL) Trolls",68.3
"Alli Dioli","Cal State Bakersfield Roadrunners",68.3
"Jada Hunter","Saint Mary's Gaels",68.3
"Mary Gibbons","Navy Midshipmen",68.3
"Kathryn Scottland","Faulkner Eagles",68.3
"Malia Melton","Oglethorpe Stormy Petrels",68.3
"Erin Toller","Bellarmine Knights",68.2
"Alexis Whitfield","Oregon Ducks",68.2
"Lore Porter","Niagara Purple Eagles",68.2
"Jasmine Singleton","San José State Spartans",68.2
"Jacklyn Kulow","Jessup University Warriors",68.2
"Tykara Harrison","St. Francis (IL) Fighting Saints",68.2
"Lauren Scott","Wright State Raiders",68.2
"Carly Keats","Arkansas Razorbacks",68.2
"Hannah Fields","Houston Christian Huskies",68.2
"Symere Shelton","La Sierra Golden Eagles",68.2
"Brialle Washington","New Orleans Privateers",68.2
"Karly Sweeney","Indiana-Southeast Grenadiers",68.2
"Kennadi Harris","Lake Erie Storm",68.2
"Faith Hayward","Bob Jones Bruins",68.2
"Grace Gavin","Sewanee Tigers",68.2
"Ella Haney","Maryville College (TN) Fighting Scots",68.2
"Kallie Theisen","South Dakota State Jackrabbits",68.1
"Hennie Van Schaik","San José State Spartans",68.1
"Sarah Talon","Maine Black Bears",68.1
"Quanirah Montague","Mississippi State Bulldogs",68.1
"Jade Clack","Tulsa Golden Hurricane",68.1
"Abigail Wright","Harvard Crimson",68.1
"Saniya Burks","Texas State Bobcats",68.1
"Jordyn Stokes","Chadron State Eagles",68.1
"Kenzie Sirowich","Alaska Anchorage Seawolves",68.1
"Skylar Bailey","UNC Asheville Bulldogs",68
"Aaliyah Roberson","TCU Horned Frogs",68
"Zoe Tillery","UC Riverside Highlanders",68
"Dannah Martin-Hartwick","LSU Alexandria Generals",68
"Alexia Dizeko","Florida Gators",68
"Aileen Marquez","Morehead State Eagles",68
"Paris Guillory","McNeese Cowgirls",68
"Nicole Kamin","Grand Valley State Lakers",68
"Xoe Rosalez","Youngstown State Penguins",68
"Destiny Robinson","Toledo Rockets",68
"Ahrianna Scott","Erskine Flying Fleet",68
"Symone Harrell","St. Francis (IL) Fighting Saints",68
"Jelena Perovic","Union Garnet Chargers",68
"Lanay Wheaton","Louisiana Ragin' Cajuns",67.9
"Kyleigh McGuire","Sam Houston Bearkats",67.9
"Aspen Thornton","UT Arlington Mavericks",67.9
"Asiah Baxter","Ohio Bobcats",67.9
"Sidney Folkenberg","Walla Walla Wolves",67.9
"XaiOnna Whitfield","Tennessee State Lady Tigers",67.9
"Taylor Schwab","Arizona Christian Firestorm",67.9
"Emilee Proctor","Wiley Wildcats",67.9
"Chloe Williams","Winston-Salem Rams",67.9
"De'Ashaj Crawford","Johnson & Wales (NC) Wildcats",67.9
"Cayla Williams","UC Santa Barbara Gauchos",67.8
"Dylan Philip","Montana State Bobcats",67.8
"Lucia Melero Sabat","New Hampshire Wildcats",67.8
"Maria Sanchez Pitarch","Northeastern Huskies",67.8
"Michaela Ray","University of The Southwest Mustangs",67.8
"Dee Guinn","Faulkner Eagles",67.8
"Leia Brown","Paine Lions",67.8
"Paris Miller","Nelson Lions",67.8
"Mikyah Finley","Shaw Bears",67.8
"Chantae Embry","SMU Mustangs",67.7
"Chloe Williams","Indiana State Sycamores",67.7
"Elena Cabello","Eastern Michigan Eagles",67.7
"Lalani Ellis","Eastern Illinois Panthers",67.7
"Daniella Velez","Presbyterian Blue Hose",67.7
"Aima Ofunrein","Brown Bears",67.7
"Breyonce' Jim","Southeastern Baptist College Chargers",67.7
"Brooklyn Stewart","Brescia Bearcats",67.7
"Shamya Champ","Jarvis Christian Bulldogs",67.7
"Da'naijah Williams","Norfolk State Spartans",67.6
"Ice Brady","UConn Huskies",67.6
"Junae Mahan","UC San Diego Tritons",67.6
"Brianna Wilson","Texas Lutheran Bulldogs",67.6
"Natalie Larranaga","Northeastern Huskies",67.6
"Gisela Segura","Long Island University Sharks",67.6
"Roxane Makolo","Georgia Lady Bulldogs",67.5
"Rachel Harvey","Eastern Washington Eagles",67.5
"Saige Gibb","Utah Valley Wolverines",67.5
"Myonna Hooper","Detroit Mercy Titans",67.5
"Marta Espinal","Loyola Maryland Greyhounds",67.5
"Blessing Okoh","Winthrop Eagles",67.5
"Queen Ikhiuwu","Wofford Terriers",67.5
"Nia Hardison","Northwestern State Lady Demons",67.5
"Naomi Barnwell","Robert Morris Colonials",67.5
"Delanie Hill","UAlbany Great Danes",67.5
"Emani Jenkins","Troy Trojans",67.5
"Lish Spoonhunter","Haskell Jayhawks",67.5
"Tomisin Adenupe","Davidson Wildcats",67.4
"Shannon Wheeler","Dayton Flyers",67.4
"Chrysta Narcisse","South Alabama Jaguars",67.4
"Renna Schwieterman","Purdue Fort Wayne Mastodons",67.4
"Mailien Rolf","Arizona Wildcats",67.4
"Mata Peaua","Weber State Wildcats",67.4
"Cambree Blackham","Utah Valley Wolverines",67.4
"Gianna Angiolet","UT Rio Grande Valley Vaqueros",67.4
"Macy Brackett","Virginia-Lynchburg Dragons",67.4
"Jade Fry","Arkansas Baptist Buffaloes",67.4
"Anya Choice","UC Santa Barbara Gauchos",67.3
"Lilly Ferguson","Massachusetts Minutewomen",67.3
"Mikaylah Manley","Southern Miss Lady Eagles",67.3
"Cadence Dykstra","Toledo Rockets",67.3
"Chloe Zazueta","Life Pacific Warriors",67.3
"Alexa Lora","Johnson & Wales (RI) Griffins",67.3
"Irene Asensio","UTEP Miners",67.3
"Elise Grossdidier","Colorado Christian Cougars",67.3
"Lilee Carlson","Lake Erie Storm",67.3
"Elise Stuck","Ball State Cardinals",67.2
"Ariana Vanderhoop","St. John's Red Storm",67.2
"Addie Porter","Clemson Tigers",67.2
"Chanelle McDonald","Bethune-Cookman Wildcats",67.2
"Lucia Yenes","New Mexico State Aggies",67.2
"Gemma LaVergne","Corban University Warriors",67.2
"Madelynn Muniz","Cal State Fullerton Titans",67.2
"Grace Koepke","American University Eagles",67.2
"Martina Borrellas","UAlbany Great Danes",67.2
"Sarah Miller","Pennsylvania Quakers",67.2
"Abby Mundy","Evergreen State Geoducks",67.2
"Kiana Henning","Howard Payne Yellow Jackets",67.2
"Lillian Null","Goshen Maple Leafs",67.1
"Bella Cates","Hendrix College Warriors",67.1
"Summer Bostock","Houston Cougars",67.1
"Loes Rozing","New Mexico State Aggies",67.1
"Whitney Lind","Lehigh Mountain Hawks",67.1
"Olivia Fernandez","Bryant Bulldogs",67.1
"Ally Schimel","Oregon State Beavers",67.1
"Mikiyah Mallet","Cheyney (PA) Wolves",67.1
"Harmony Earth-Wiley","Bridgeport Purple Knights",67.1
"Kaison Wood","Alice Lloyd College Eagles",67.1
"Amirah Abdur-Rahim","Texas A&M Aggies",67
"Savannah Samuel","Boston College Eagles",67
"Filipa Calisto","George Washington Revolutionaries",67
"Elle Papahronis","San Francisco Dons",67
"Danae Powell","Fresno State Bulldogs",67
"Kate Hughes","Mount Saint Mary (NY) Knights",67
"Nevaeh Tot","Oklahoma Sooners",66.9
"Jordan Wood","Duke Blue Devils",66.9
"Adreanna Waddle","Prairie View A&M Lady Panthers",66.9
"Petra Bozan","Nebraska Cornhuskers",66.9
"Pam Mock","Meredith College Avenging Angels",66.9
"Sarahia Hurd","Southeastern Baptist College Chargers",66.9
"Shannen Hinchey","Virginia-Lynchburg Dragons",66.9
"Layla Henderson","Johns Hopkins University Blue Jays",66.9
"Ysabel Puente","Life Pacific Warriors",66.9
"Amelia Scharpf","UC Irvine Anteaters",66.8
"Alex Gitchenko","UMass Lowell River Hawks",66.8
"Molly Lavin","Drexel Dragons",66.8
"Aminata Diakite","Towson Tigers",66.8
"Kailey Kalet","Loyola Maryland Greyhounds",66.8
"Bryanna Preston","Texas Longhorns",66.8
"Jana Falsdottir","Cal State Fullerton Titans",66.8
"Kylee Madden","Southeastern Baptist College Chargers",66.8
"Addison Branscum","Regis Rangers",66.8
"Cianna Roberts","Cheyney (PA) Wolves",66.8
"Mimi Rubino","Bryant Bulldogs",66.7
"Marley Langi","Cal State Bakersfield Roadrunners",66.7
"Olivia Kieffer","South Dakota Coyotes",66.7
"Zamareya Jones","NC State Wolfpack",66.7
"Aaliyah Ibarra","Utah Tech Trailblazers",66.7
"Shabrica Leslie","Clinton College Golden Bears",66.7
"Elivia Moore","Alice Lloyd College Eagles",66.7
"Kaci Chairs","Prairie View A&M Lady Panthers",66.6
"Crystal Smith","Texas State Bobcats",66.6
"Emma Santoro","Emory & Henry Wasps",66.6
"Anna Rescifina","American University Eagles",66.6
"Alexis Gie","Dillard Blue Devils",66.6
"Haley Debuse","College Of Saint Mary Flames",66.6
"Adria Lincoln","Montana Lady Griz",66.6
"Anasia Staton","Towson Tigers",66.6
"Skylar Barnes","Southeast Missouri State Redhawks",66.6
"Chloe Van Zeeland","UW-Parkside Rangers",66.6
"Ariana Kupi","Adelphi Panthers",66.6
"Karrin Purchas","Virginia-Lynchburg Dragons",66.6
"Kyla Davis","McNeese Cowgirls",66.5
"Maria Myklebust","Florida Atlantic Owls",66.5
"Arianna Mosley","Grambling Lady Tigers",66.5
"Taylor Stremlow","Iowa Hawkeyes",66.5
"Jhaid Westbrook","Johnson C Smith Golden Bulls",66.5
"Jesse Ledgerwood","Indiana-Southeast Grenadiers",66.5
"Makayla Raines","Southern Wesleyan Warriors",66.5
"Kelsie Imai","Hawai'i Rainbow Wahine",66.4
"Lydia York","Central Baptist College Mustangs",66.4
"Emerita Mashaire","Pepperdine Waves",66.4
"Oyindamola Akinbolawa","Auburn Tigers",66.4
"Jaelyn Talley","North Texas Mean Green",66.4
"Sofia Bell","Oregon Ducks",66.4
"Grace Oliver","Colorado Buffaloes",66.4
"Malaya Jones","Nicholls Colonels",66.4
"Taliyah Hayes","Dakota Wesleyan Tigers",66.4
"Sydni Morris","Clarke University Pride",66.4
"Kenzie Matulonis","New Hampshire Wildcats",66.3
"Ariana Seawell","Buffalo Bulls",66.3
"Kierra Prim","Houston Christian Huskies",66.3
"Gracie Rankosky","Walsh Cavaliers",66.3
"Marie Outlay","Roosevelt Lakers",66.3
"Kalissa Lacy","Northern Kentucky Norse",66.2
"Reyna Scott","Oklahoma Sooners",66.2
"Carla Viegas","Florida State Seminoles",66.2
"Karsyn Norman","Butler Bulldogs",66.2
"Charlotte Abraham","Washington State Cougars",66.2
"Ellizabeth Reed","Culver-Stockton Wildcats",66.2
"Sydnee Kemp","Sam Houston Bearkats",66.1
"Lyric Johnson","Eastern Illinois Panthers",66.1
"Ciniya Moore","Yale Bulldogs",66.1
"Jacqueline Aguilar","Bethesda University Flames",66.1
"Lauren Friedrich","Columbia College (MO) Cougars",66.1
"Ellie Reynolds","Colorado-Colorado Springs Mountain Lions",66.1
"Maddy Westbeld","Notre Dame Fighting Irish",66
"Jaliyah Green","Villanova Wildcats",66
"Irune Orio","Xavier Musketeers",66
"Madison Cockrell","Incarnate Word Cardinals",66
"Kaliah Kendrick","Southern Wesleyan Warriors",66
"Mariah Clayton","Old Dominion Monarchs",66
"Paige Cofer","Utah Tech Trailblazers",66
"Claire Stern","North Dakota State Bison",66
"Kyra Long","Miles Golden Bears",66
"Kenza Salgues","Florida Gators",65.9
"Eden Sample","Jacksonville State Gamecocks",65.9
"Takiyah Goff","Tennessee Southern Firehawks",65.9
"Eliza Maupin","Kansas State Wildcats",65.9
"Fiona Connolly","Valparaiso Beacons",65.9
"Cheyanne Kemp","Central Arkansas Sugar Bears",65.9
"McKenna Layden","Purdue Boilermakers",65.9
"Alonya Waldon","Samford Bulldogs",65.9
"Natalie Edmonson","Hendrix College Warriors",65.9
"Alliance Ndiba","Cincinnati Bearcats",65.9
"Jariyah Williamson","Southeast Missouri State Redhawks",65.9
"Julianna Walker","Seattle U Redhawks",65.8
"Tyranny Brown","Southern Illinois Salukis",65.8
"Sydney Thomas","Louisiana Tech Lady Techsters",65.8
"Kennedy Eskelson","Weber State Wildcats",65.8
"Caitie Gingras","Cal State Bakersfield Roadrunners",65.8
"Akiyonna Joiner","Clinton College Golden Bears",65.8
"Myona Dauphinas","Haskell Jayhawks",65.8
"Katie Krupa","Harvard Crimson",65.7
"Danielle Vuletich","Robert Morris Colonials",65.7
"Kaila Berry","Fordham Rams",65.7
"Tiara Bellamy","UMBC Retrievers",65.7
"Empress Roberts","Arkansas-Pine Bluff Golden Lions",65.7
"Taniya Lawson","Southern Jaguars",65.7
"Olivia Hixson","Westminster (MO) Blue Jays",65.7
"Aaryn Battle","Pittsburgh Panthers",65.7
"Lee Lee Willis","Kennesaw State Owls",65.7
"Laine McGurk","Drexel Dragons",65.7
"Kyra Tanabe","Chadron State Eagles",65.7
"Ana Oliveira Dias","Kansas City Roos",65.7
"Averi Aaron","Louisiana Tech Lady Techsters",65.7
"Alana Rouser","Florida Atlantic Owls",65.7
"Zariah Davis","Wesleyan College (GA) Wolves",65.7
"Darrione Rogers","Miami Hurricanes",65.6
"Brianna Turnage","Florida State Seminoles",65.6
"Tyana Walker","Howard Bison",65.6
"Jala Bannerman","Morgan State Lady Bears",65.6
"Lindsey Knuth","Wisconsin-La Crosse Eagles",65.6
"Jaedyn Jamison","Mount St. Mary's Mountaineers",65.5
"Yvonne Forman","Jarvis Christian Bulldogs",65.5
"Riley Montagner","Lake Erie Storm",65.5
"Fantasia James","Florida International Panthers",65.5
"Molly Driscoll","American University Eagles",65.5
"Mya Brown","Buffalo State Bengals",65.5
"Makenna Grillone","Colby-Sawyer Chargers",65.5
"Jordyn Beaty","Buffalo Bulls",65.4
"Logan Lewis","IU Indianapolis Jaguars",65.4
"Aleah James","Maryland Eastern Shore Hawks",65.4
"Brittany Harshaw","Kansas Jayhawks",65.4
"Madison Butcher","Sacramento State Hornets",65.4
"Elyza Mitchell","Colby-Sawyer Chargers",65.4
"Mary Copple","Canisius Golden Griffins",65.4
"Erin Condron","UC San Diego Tritons",65.4
"Paige Vanstee","Grand Valley State Lakers",65.4
"Madison Clay","Howard Payne Yellow Jackets",65.4
"Aya Keita","San Francisco Dons",65.3
"Momo LaClair","Massachusetts Minutewomen",65.3
"Lauren McCall","San Diego Toreros",65.3
"Kennedy Sanders","Colorado Buffaloes",65.3
"Olivia Bradley","UC Santa Barbara Gauchos",65.3
"Justina Graham","Alabama State Lady Hornets",65.3
"Leah Barringer","Lees-McRae Bobcats",65.3
"Ahnay Adams","Miami Hurricanes",65.3
"Taylor Jackson","Oklahoma Christian University Eagles",65.3
"Kaylee Bennett","Arlington Baptist Patriots",65.3
"Carla Celaya","Northwestern State Lady Demons",65.2
"Hadleigh Dill","Campbell Fighting Camels",65.2
"Aminata Tal","Presbyterian Blue Hose",65.2
"Olivia Allen","Delta State Statesmen",65.2
"Nathalie Santana","Wesleyan College (GA) Wolves",65.2
"Anna Conza","Oglethorpe Stormy Petrels",65.2
"Jillian Hollingshead","Tennessee Lady Volunteers",65.1
"Sydney Woodley","West Virginia Mountaineers",65.1
"Laurel Rockwood","UC Santa Barbara Gauchos",65.1
"Nadia Howard","South Alabama Jaguars",65.1
"Gabriela Falcao","UAlbany Great Danes",65.1
"Klea Kaci","Wagner Seahawks",65.1
"Miraya Perkins","UT Arlington Mavericks",65.1
"Kaylan Lockett","Champion Christian Tigers",65.1
"Madelyn Brown","Saint Martin's Saints",65.1
"Sabrina Larsson","Hofstra Pride",65.1
"Amari Faust","Hood College Blaze",65.1
"Mekayla Lumpkin","South Carolina State Lady Bulldogs",65
"Kate Hillyer","William Jewell Cardinals",65
"Phoenix Stotijn","Arkansas Razorbacks",65
"Erica King","Youngstown State Penguins",65
"Malia Bullock","Bryn Athyn Lions",65
"Amyia Bowie","St. Thomas (TX) Celts",65
"Kyren Wilson","Southern-New Orleans Knights",65
"Dekezia Moore","Oakwood Ambassadors",65
"Jayda Noble","California Golden Bears",64.9
"Ally Stedman","UCF Knights",64.9
"Cory Santoro","Canisius Golden Griffins",64.9
"Jovi Lefotu","Hawai'i Rainbow Wahine",64.9
"Kati Ollilainen","Wyoming Cowgirls",64.9
"Azaria Knox","Dillard Blue Devils",64.9
"Ana Pinheiro","Idaho Vandals",64.9
"Ava Card","Chattanooga Mocs",64.9
"Gigi Waddell","Texas A&M-Texarkana Eagles",64.9
"Skylah Travis","Louisiana Ragin' Cajuns",64.8
"Ianna Odulaja","Erskine Flying Fleet",64.8
"Ines Piper","South Florida Bulls",64.8
"Aminah Hall","Bellevue University Bruins",64.8
"Kylie Buckley","Oakland Golden Grizzlies",64.8
"Chana Paxixe","High Point Panthers",64.8
"Mia Broom","Columbia Lions",64.8
"Taj Hunter","Western Carolina Catamounts",64.8
"Brooke Kleinig","St. Mary's (TX) Rattlers",64.8
"Imari Berry","Louisville Cardinals",64.7
"Taliyah Parker","Texas A&M Aggies",64.7
"Zawadi Ogot","Loyola Marymount Lions",64.7
"Kelsey Langston","Cornell Big Red",64.7
"KB Hadley","Siena Saints",64.7
"Chloe Chard Peloquin","Wright State Raiders",64.6
"Joy Haltom","Portland State Vikings",64.6
"Becca Ledford","West Georgia Wolves",64.6
"Mia Haynes","Worcester State Lancers",64.6
"Jailah Pineda","Old Westbury Panthers",64.6
"Aria Myers","NJIT Highlanders",64.5
"Lauren Audino","Western Michigan Broncos",64.5
"Mya Robinson","Fisk Bulldogs",64.5
"Kendalyn Dixon","Meredith College Avenging Angels",64.5
"Nariyah Simmons","Austin Peay Governors",64.5
"Alayna Rocco","Harvard Crimson",64.5
"Selene Romero","Bethesda University Flames",64.5
"Ania Martinez","Bloomfield Deacons",64.5
"Ari Wiggins","Butler Bulldogs",64.4
"Taisiya Kozlova","Seattle U Redhawks",64.4
"Coral Mason","South Dakota Coyotes",64.4
"Yasmine Brown","Chowan Hawks",64.4
"Tatiana Newsome","Jessup University Warriors",64.4
"Kailee McDonald","Fairleigh Dickinson Knights",64.4
"Airah Lavy","St. Francis (PA) Red Flash",64.4
"Mattie Dale","Central Christian College Tigers",64.4
"Synia Johnson","East Carolina Pirates",64.3
"Victoria Baker","UC Davis Aggies",64.3
"Carleigh Perry","Guilford Quakers",64.3
"Clemisha Prackett","Mississippi Valley State Devilettes",64.3
"Queen Ruffin","Indiana State Sycamores",64.3
"Niki Van Wyk","Tarleton State Texans",64.3
"Chloe Vasquez","Iona Gaels",64.3
"Ana Conde","Siena Saints",64.3
"Dianna Blake","North Carolina Central Eagles",64.3
"Malea Williams","Florida State Seminoles",64.2
"Lainey Spear","Portland Pilots",64.2
"Maddy McDaniel","South Carolina Gamecocks",64.2
"Jayden McBride","Georgetown Hoyas",64.2
"Hannah Richardson","St. Bonaventure Bonnies",64.2
"Taeya Steinauer","Purdue Fort Wayne Mastodons",64.2
"Sanna Strom","Colorado State Rams",64.1
"Nayo Lear","Dayton Flyers",64.1
"Alex Pirog","Montana Lady Griz",64.1
"Peyton Ilderton","Marshall Thundering Herd",64.1
"Lauryn Goettl","Viterbo V-Hawks",64.1
"Neenah George","Northern Colorado Bears",64.1
"Gigi Bower","Ohio Bobcats",64.1
"Rebekah Frisby-Smith","William & Mary Tribe",64
"Julia Cruz","Life Pacific Warriors",64
"Rose Nelson","Fordham Rams",64
"Shaniah Nunn","Grambling Lady Tigers",64
"Briahna Scott","Guilford Quakers",64
"Saharra Murphy","Illinois-Springfield Prairie Stars",64
"Hannah Wallace","Saint Louis Billikens",64
"Amina Kameric","UMass Lowell River Hawks",64
"Erica Moon","Texas A&M Aggies",63.9
"Brianna Byars","Cincinnati Bearcats",63.9
"Ines Monteagudo Pardo","Boston University Terriers",63.9
"Victoria Dixon","Houston Christian Huskies",63.9
"Anna Hamilton","Northern Kentucky Norse",63.9
"Ke'iara Odume","Yale Bulldogs",63.9
"Kuryn Brunson","Morehead State Eagles",63.9
"Audrey Norville","Black Hills State Yellow Jackets",63.9
"Hayden Wilkins","Colby-Sawyer Chargers",63.9
"Frida Formann","Colorado Buffaloes",63.8
"Melissa Secchiaroli","Cal State Bakersfield Roadrunners",63.8
"Miriley Simon","North Dakota State Bison",63.8
"Ava Miller","South Carolina Upstate Spartans",63.8
"Jordan Grenn-Wallace","Walla Walla Wolves",63.8
"Sydney Graber","Purdue Fort Wayne Mastodons",63.7
"Avari Berry","SE Louisiana Lady Lions",63.7
"Cora Olsen","Omaha Mavericks",63.7
"Jada Morgan","South Carolina State Lady Bulldogs",63.7
