"Name","School","Rating"
"Jackie Grisdale","Quinnipiac Bobcats",87.3
"Karly Weathers","Alabama Crimson Tide",87.3
"Stailee Heard","Oklahoma State Cowgirls",87.3
"Camryn Tade","Army Black Knights",87.3
"Asia Avinger","Georgia Lady Bulldogs",87.2
"Esmeralda Morales","Montana State Bobcats",87.2
"Vanessa Shafford","Southern Indiana Screaming Eagles",87.2
"Molly Heard","Lipscomb Bisons",87.2
"Hope Hassmann","Idaho Vandals",87.2
"Jayda McNabb","Air Force Falcons",87.2
"Emilee Weakley","Frostburg State Bobcats",87.2
"Chelby Koker","Northern Illinois Huskies",87.1
"Elena Bosgana","Stanford Cardinal",87.1
"Benthe Versteeg","Sacramento State Hornets",87.1
"Laila Lawrence","Coppin State Eagles",87.1
"Skylar Forbes","Marquette Golden Eagles",87.1
"Halle Vice","Marquette Golden Eagles",87.1
"Amari Whiting","BYU Cougars",87.1
"Kelsey Ransom","Georgetown Hoyas",87
"Chellia Watson","Buffalo Bulls",87
"Jada Burton","Western Carolina Catamounts",87
"Alexandra Zelaya","UNC Wilmington Seahawks",86.9
"Talaysia Cooper","Tennessee Lady Volunteers",86.9
"Kennedy Johnson","Saint Mary's Gaels",86.9
"Khadija Faye","Pittsburgh Panthers",86.8
"Abby Antognoli","Lafayette Leopards",86.8
"Skylar Treadwell","Bellarmine Knights",86.7
"Abaigeal Babore","Fairleigh Dickinson Knights",86.7
"Stefanie Ingram","Florida Atlantic Owls",86.7
"Brooke Coffey","Lindenwood Lions",86.7
"Lexi Donarski","North Carolina Tar Heels",86.6
"Saniah Parker","Tennessee State Lady Tigers",86.6
"Darianna Littlepage-Buggs","Baylor Bears",86.6
"Carys Baker","Virginia Tech Hokies",86.6
"Fadima Tall","Princeton Tigers",86.6
"Amiya Joyner","East Carolina Pirates",86.5
"Lexi Fleming","Bowling Green Falcons",86.5
"Ainhoa Cea","Lipscomb Bisons",86.5
"Kacey Spink","Idaho State Bengals",86.5
"Allie Meadows","Western Illinois Leathernecks",86.5
"Latasha Lattimore","Virginia Cavaliers",86.4
"Kennedy Todd-Williams","Ole Miss Rebels",86.4
"Leia Beattie","Northern Arizona Lumberjacks",86.4
"Olivia Pollerd","Santa Clara Broncos",86.4
"Jalynn Gregory","Middle Tennessee Blue Raiders",86.4
"Kendal Cheesman","Belmont Bruins",86.4
"Mia Jacobs","Fresno State Bulldogs",86.4
"Chloe Clardy","Stanford Cardinal",86.4
"Saniyah King","Howard Bison",86.4
"Shyanne Sellers","Maryland Terrapins",86.3
"Alyssa Brown","UNLV Lady Rebels",86.3
"Sigrun Olafsdottir","Chattanooga Mocs",86.3
"Taylor Thierry","Ohio State Buckeyes",86.3
"Marie Kiefer","Ball State Cardinals",86.3
"Charity Gallegos","North Alabama Lions",86.3
"Crystal Henderson","Georgia State Panthers",86.3
"Amyah Moore Allen","Colorado-Colorado Springs Mountain Lions",86.2
"Meredith Mayes","Abilene Christian Wildcats",86.2
"Sarah Lamet","Saint Martin's Saints",86.2
"Mila Holloway","Michigan Wolverines",86.2
"Faith Blackstone","Stephen F. Austin Ladyjacks",86.1
"Gabriela Jaquez","UCLA Bruins",86.1
"Anastasiia Boldyreva","Middle Tennessee Blue Raiders",86.1
"Jordyn Jenkins","UTSA Roadrunners",86.1
"Mataya Gayle","Pennsylvania Quakers",86.1
"Allie Turner","Gonzaga Bulldogs",86.1
"JJ Quinerly","West Virginia Mountaineers",86
"Kayla Williams","California Golden Bears",86
"Lexie Givens","Nevada Wolf Pack",86
"Kiki Iriafen","USC Trojans",86
"Bridget Dunn","Kent State Golden Flashes",86
"Jalencia Pierre","SE Louisiana Lady Lions",86
"Erin Leary","Iona Gaels",86
"Mihjae Hayes","Virginia St Trojans",86
"DeYona Gaston","Auburn Tigers",85.9
"Caroline Bornemann","Maine Black Bears",85.9
"Maisie Burnham","Portland Pilots",85.9
"Grace Cave","Omaha Mavericks",85.9
"Kennedy Calhoun","Saint Louis Billikens",85.9
"Tatum Thompson","Boise State Broncos",85.9
"Angelina Dimarsico","Dominican (NY) Chargers",85.9
"Deja Kelly","Oregon Ducks",85.8
"Alyssa Ustby","North Carolina Tar Heels",85.8
"Rayah Marshall","USC Trojans",85.8
"Taisha Exanor","Monmouth Hawks",85.8
"Kaitlyn Costner","Eastern Kentucky Colonels",85.8
"Jaleesa Lawrence","High Point Panthers",85.8
"Reghan Grimes","Tennessee Tech Golden Eagles",85.8
"Essence Cody","Alabama Crimson Tide",85.8
"Halli Poock","Murray State Racers",85.8
"Ellie Brueggemann","Lindenwood Lions",85.8
"Olivia Olson","Michigan Wolverines",85.8
"Genesis Bryant","Illinois Fighting Illini",85.7
"Faith Masonius","Seton Hall Pirates",85.7
"Megan Norris","UC Davis Aggies",85.7
"Deja Lee","UC Irvine Anteaters",85.7
"Bella Pucci","Binghamton Bearcats",85.7
"Aaliyah McQueen","Detroit Mercy Titans",85.6
"Jasmine Kondrakiewicz","Green Bay Phoenix",85.6
"Stefanie Kulesza","Massachusetts Minutewomen",85.6
"Sydney Affolter","Iowa Hawkeyes",85.6
"Yaya Felder","Baylor Bears",85.6
"Morgan Lee","Marist Red Foxes",85.6
"Desiree Wooten","North Texas Mean Green",85.6
"Ashley Chea","Princeton Tigers",85.6
"Abrie Cabana","Grand Valley State Lakers",85.6
"Ruby Santos","Saint Michael's Purple Knights",85.6
"Izzy Higginbottom","Arkansas Razorbacks",85.5
"Skylar Vann","Oklahoma Sooners",85.5
"Jillian Hayes","Cincinnati Bearcats",85.5
"Tova Sabel","UC Davis Aggies",85.5
"Chardonnay Hartley","Utah Tech Trailblazers",85.5
"Anne Bair","Colgate Raiders",85.5
"Leah Mafua","Central Arkansas Sugar Bears",85.5
"Emily Robinson","Oral Roberts Golden Eagles",85.5
"Sydne Tolbert","West Georgia Wolves",85.5
"Ava Renninger","Fairleigh Dickinson Knights",85.5
"Charlotte O'Keefe","UT Rio Grande Valley Vaqueros",85.4
"Tyja Beans","Western Carolina Catamounts",85.4
"Destiny Adams","Rutgers Scarlet Knights",85.3
"Sydney Shaw","West Virginia Mountaineers",85.3
"Alexius Horne","SE Louisiana Lady Lions",85.3
"Lee Volker","Marquette Golden Eagles",85.3
"Trinity Hardy","Army Black Knights",85.3
"Sidney Love","UTSA Roadrunners",85.3
"Kennedy Harris","George Mason Patriots",85.3
