player,team,conf,pos,g,mpg,ppg,rpg,apg,spg,bpg,ts,efg,tpar,team_z,sos_z,opp_z_w,rating_raw,rating
Kaitlyn Orihel,Villanova Wildcats,Big East,Guard,35,15.366190476190477,2.3714285714285714,1.5142857142857142,1.2857142857142858,0.34285714285714286,0.11428571428571428,0.5016924564796905,0.4805194805194805,0.6103896103896104,1.0898671601642396,1.6964127797684465,0,70.351125218655,70
Maci Rhoades,Valparaiso Beacons,MVC,Guard,28,27.70416666666667,6.642857142857143,3.107142857142857,1.3214285714285714,1.1785714285714286,0.2857142857142857,0.5060949063996517,0.48830409356725146,0.6081871345029239,0.47677346748691674,0.00443575231650613,0,70.34228340900992,70
Fiona Hastick,Army Black Knights,Patriot,Guard,29,33.234482758620686,11.413793103448276,4.344827586206897,2.689655172413793,1.1379310344827587,0.6896551724137931,0.45060988891309084,0.43304843304843305,0.46438746438746437,0.548188911179832,-0.7851214921611698,0,70.33344704390176,70
Mya Hansen,Boise State Broncos,Mountain West,Guard,30,20.09611111111111,6.333333333333333,1.0666666666666667,1.5666666666666667,0.3333333333333333,0.06666666666666667,0.5063965884861408,0.45588235294117646,0.5117647058823529,0.7067788919983362,0.089050966563081,0,70.32461612289293,70
Nadira Eltayeb,Kansas Jayhawks,B12,Center,27,13.216666666666667,2.888888888888889,3.962962962962963,0.4074074074074074,0.3333333333333333,0.2962962962962963,0.49492385786802034,0.4714285714285714,0,1.0617521527387002,1.7514465476441803,0,70.31579064554575,70
Meghan Huerter,UAlbany Great Danes,AEC,Guard,32,14.932291666666666,4.9375,1.09375,0.5625,0.34375,0.15625,0.5526021264689424,0.5431654676258992,0.762589928057554,0.73150646112473094,-0.5416738919142879,0,70.30697061142226,70
Anjanae Richardson,Norfolk State Spartans,MEAC,Guard,30,24.738888888888887,10,1.8333333333333333,2,1.2666666666666666,0.2,0.5164577881834458,0.4805447470817121,0.45136186770428016,0.9583717727910211,-0.38113596622237733,0,70.29815602008435,70
Jasmine Payne,East Texas A&M Lions,Southland,Guard,29,21.2448275862069,9.551724137931034,3.1724137931034484,0.896551724137931,0.3448275862068966,0.4827586206896552,0.4970571346540339,0.45267489711934156,0.34156378600823045,0.13037340862990604,-0.48444159408969284,0,70.28934687109368,70
Aaliyah Ibarra,Utah Tech Trailblazers,WAC,Guard,29,16.406896551724138,7.068965517241379,2,0.7586206896551724,0.6896551724137931,0.034482758620689655,0.4873526055534424,0.4671717171717172,0.5808080808080808,-0.0031398396983192936,-0.3556924077966082,0,70.28054316401173,70
Danja Stafford Collins,Utah Valley Wolverines,WAC,Forward,29,24.71551724137931,7.724137931034483,8.551724137931034,1.4827586206896552,0.7586206896551724,0.4482758620689655,0.501432664756447,0.4327485380116959,0.19298245614035087,0.4719748869315746,-0.7091207948072421,0,70.27174489839977,70
Zyheima Swint,Hofstra Pride,CAA,Center,23,27.05217391304348,7.3478260869565215,7.434782608695652,0.9565217391304348,0.8260869565217391,0.6521739130434783,0.4974099364257123,0.4965986394557823,0,0.2984441205403632,-0.40559475465452605,0,70.26295207381888,70
Bineta Diatta,Florida International Panthers,CUSA,Center,29,22.92758620689655,7.793103448275862,4.241379310344827,1.0689655172413792,0.7931034482758621,0.41379310344827586,0.5170204978038068,0.45698924731182794,0.026881720430107527,0.32266927632982234,-0.3906785334126086,0,70.25416468982992,70
