"pos","exp","hgt","mpg","ppg","rpg","apg","spg","bpg","two_pct","three_pct","ft_pct","tov","ast_to","efg","ts","usg","ortg","drtg","rim_pct","mid_pct","obpm","dbpm","bpm","ftr","pfr","Rating"
"Wing G","Jr","6-6",17.6111,7.6667,2.6667,0.4444,0.7778,0,0.071,0.321,0.75,0.888899965690142,0.49994377,39.6,40.64,24.4,90.8,105.02,0.0909,0,-0.484097,-0.232284,-0.716381,6,4.4,55
"C","Sr","6-9",28.5361,13.2778,9.0278,1.25,1.1111,1.5,0.557,0,0.734,1.500000006,0.83333333,55.5,59.86,22.5,119.9,90.1833,0.6278,0.4638,4.06157,3.98769,8.04926,53,3.7,90
"Wing G","Sr","6-2",27.6179,13.2143,3.75,1.4643,0.7857,0,0.468,0.396,0.841,0.964299953564377,1.51851091,54.1,57.95,21.2,115.1,113.588,0.5068,0.3889,2.63121,-1.66224,0.96897,26.7,2.5,68
"Wing G","Sr","6-3",8.4214,3.4643,1.0357,0.1786,0.1071,0.0357,0.35,0.429,0.875,0.28569999385889,0.62513127,53.6,58.31,16.3,117.2,112.266,0.5,0.3333,1.19949,-1.74033,-0.54084,29.1,2.5,53
"C","Sr","6-8",24.1188,6.75,8.0938,1.1875,1.1875,1.125,0.679,0,0.744,0.874999998157895,1.35714286,67.3,70.34,13.8,140.5,103.446,0.6923,0.6,2.12022,0.640644,2.76087,80.4,4.3,75
"Wing F","Sr","6-6",25.5633,11.5,7.1333,1.5,0.7,0.1667,0.531,0.226,0.785,1.33329999490768,1.12502813,50.6,56.13,22.8,114.7,107.257,0.6068,0.4375,1.33091,-1.60717,-0.276265,43.9,3.2,68
"Wing G","Sr","6-7",18.0333,6.1667,1.5,0.3333,0.5,0,0.455,0.25,0.545,1.000000030003,0.33329999,41.3,44.29,18.2,80.9,112.366,0.5,0.3333,-5.13748,-2.43178,-7.56926,47.8,4.9,60
"Combo G","Sr","6-2",21.9867,6.8333,2.2333,1.8667,0.6667,0.2667,0.524,0.358,0.821,1.73329991714572,1.07696307,52.8,56.37,19.7,98.8,111.057,0.5714,0.3333,-2.25306,-1.59239,-3.84546,24.7,3.4,61
"Wing F","Sr","6-9",30.5121,12.7273,5.4848,1.7879,1.0606,0.697,0.469,0.288,0.771,2.42420008752828,0.73752163,45.6,53.96,23.8,100.1,107.028,0.563,0.32,0.879456,1.64959,2.52905,64.4,3.6,82
"Combo G","Sr","6-2",18.6912,6.2647,1.9118,1.0882,0.6471,0.0294,0.667,0.361,0.833,0.500000011486859,2.17639995,56,56.48,13.9,118.5,110.188,0.6667,0.6667,0.891167,-1.22822,-0.33705,3.6,3.1,67
"Combo G","Sr","6-4",23.0185,5.2963,2.5556,1.4074,0.5185,0,0.591,0.329,0.633,0.555599982587463,2.53311743,53,54.48,12.2,112,117.121,0.6316,0.3333,-2.09415,-1.98329,-4.07744,25.6,2.2,62
"PF/C","Sr","6-9",26.9074,13.3333,6.6667,3.1111,0.7407,0.8519,0.553,0.258,0.583,2.59260014202425,1.19999222,53.5,54.61,29.1,101.7,109.987,0.6067,0.4267,1.7116,0.276548,1.98815,33.8,3.1,74
"Combo G","Sr","6-6",36.6618,22.1176,3.5588,3.3824,1.7059,0.2353,0.47,0.333,0.716,1.76470003897533,1.91669968,48.4,51.67,29.1,108,109.803,0.546,0.3759,2.99271,-0.868546,2.12416,29.2,2.1,73
"PF/C","Sr","6-7",25.6226,8.6452,6.0968,1.0323,0.6452,1.6129,0.576,0,0.598,1.41939998444064,0.72727914,57.3,58.35,18.5,107.2,92.3333,0.5859,0.5476,-1.78638,1.85034,0.0639556,48,2.5,75
"Wing G","Sr","6-2",14.98,3.8,3.2,0.6,0.4,0,0.381,0,1,2.19999994133333,0.27272728,29.6,33.42,25.8,60.9,109.757,0.4,0.3636,-8.5124,-3.52123,-12.0336,11.1,1.6,74
"Combo G","Sr","6-5",33.5167,11.1111,2.3611,2.3889,1.0278,0.25,0.505,0.348,0.816,1.16669998257935,2.0475701,51.2,55.2,18.1,116.1,110.355,0.5,0.5076,1.6037,1.04898,2.65268,27.1,2.5,81
"C","Sr","6-9",9.47,0.6,2.1,0.2,0.1,0.2,0.5,0,0.5,0.4,0.5,50,50.85,6.9,85.1,105.613,0.3333,1,-4.91066,1.6127,-3.29796,100,5.1,60
"Combo G","Sr","6-4",30.7423,12.0769,3.9615,1.9231,1.7692,0.0769,0.384,0.32,0.703,1.6922999673895,1.13638246,43.5,46.93,23.3,93.5,100.208,0.4833,0.2692,-2.37331,0.687114,-1.6862,27,3.2,65
"PF/C","Sr","6-7",10.28,3.6,2.2,0.4,0,0.2,0.364,0,0.25,0.600000015,0.66666665,36.4,34.88,22.5,80.7,110.16,0.6,0.1667,-5.51796,-1.88128,-7.39924,36.4,7.2,51
"C","Jr","6-10",25.6706,11.7647,6.1765,1.5882,0.5294,0.3529,0.613,0,0.68,1.97060004200522,0.80594741,61.1,63.18,23.7,114.8,105.538,0.7017,0.3333,1.94692,-0.879526,1.06739,52.3,3,77
"Stretch 4","Jr","6-8",10.8,3.4194,2.0323,0.3226,0.5161,0.2903,0.489,0.409,0.667,0.6452,0.5,52.9,54.8,17.2,103.9,101.592,0.5588,0.3077,-2.40381,0.483231,-1.92057,26.1,6.6,52
"Wing G","Sr","6-7",23.9219,12.9688,3.3438,1.4375,0.7812,0.4062,0.515,0.416,0.763,0.812499999646739,1.76923077,59.9,61.03,21.1,122.7,118.067,0.6038,0.2,6.06448,-2.13822,3.92626,12.7,2.3,72
"C","Jr","6-9",14.8394,4.7879,3.3939,0.1818,0.0909,0.7273,0.566,0,0.636,0.393900018382001,0.46153844,56,59.3,14.6,121.2,116.906,0.5921,0.2857,-2.00983,-2.12742,-4.13725,91.7,6.3,58
"Wing G","Sr","6-4",16.3882,6.5294,1.5882,1.2059,0.2647,0.3235,0.373,0.349,0.747,1.14710002004452,1.05125968,40.5,46.54,22.7,98.3,106.253,0.4524,0.2838,-1.42791,1.28027,-0.147639,39.3,4.7,72
"Pure PG","Sr","6-0",35.0829,10.5429,2.9714,9.8286,1.7143,0.0571,0.465,0.404,0.77,2.45709993044617,4.00008151,51,54.7,20.1,119.5,100.563,0.5814,0.3793,4.72271,2.37306,7.09577,29.4,1.8,90
"Stretch 4","Sr","6-9",14.39,5.2667,3.1333,0.5333,0.4333,0.4,0.579,0.32,0.806,0.600000042752675,0.88883327,51.3,55.2,16.9,115.1,99.731,0.6111,0,0.605743,0.536945,1.14269,27.4,2.8,68
"Combo G","Sr","6-5",21.7563,8.1875,2.5312,2.0312,0.8438,0,0.533,0.259,0.745,1.84380000281762,1.10163792,48.9,54.84,21.4,99.1,112.334,0.5895,0.3333,-2.06693,-1.50622,-3.57315,53.4,2.5,63
"Wing F","Sr","6-7",36.5161,20.5161,8.9032,2.0645,0.7742,0.3871,0.517,0.317,0.611,3.19349990589655,0.64646941,51.2,53.75,29.6,102,111.439,0.5556,0.4196,1.27163,-1.34594,-0.0743141,50.9,3.1,72
"Wing G","Sr","6-4",16.5545,2.1818,2.2727,0.697,1.1212,0.1818,0.463,0.242,0.556,0.424199982113002,1.64309295,41.9,43.61,10,99.5,103.786,0.5313,0.2222,-3.03871,4.3802,1.34149,24.3,4.9,66
"Wing G","Sr","6-6",36.9412,17.1176,8.8235,4.2353,2.2941,1.1176,0.465,0.266,0.764,2.76469989294613,1.53192034,44.8,49.95,28,101.6,95.0077,0.5062,0.4327,4.08424,4.14078,8.22501,35.7,1.8,88
"Wing G","Jr","6-3",8.0909,2.8182,0.5455,0.0909,0.1818,0,0.667,0.4,0,0.0909,1,60.9,60.87,13.8,120.9,109.291,1,0.5,0.385065,-1.17395,-0.788888,0,3.5,53
"Wing F","Jr","6-6",24.9586,8.7931,4.5862,0.7241,0.5862,0.6207,0.58,0.368,0.683,0.793100010196061,0.91299961,57.4,58.8,15.5,117.4,103.822,0.6134,0.4516,0.890413,0.726401,1.61681,21.8,3,76
"Wing G","Sr","6-0",18.5194,6.3871,1.4516,0.6452,0.4194,0.2258,0.438,0.292,0.628,0.548399973803957,1.17651355,43.8,46.09,18.8,95.4,104.406,0.4912,0.3793,-2.81751,0.270378,-2.54713,24.3,4.1,68
"Wing F","Sr","6-8",7.1862,2.2069,1.0345,0.6207,0.2759,0.1379,0.625,0.133,0.688,0.344799995004927,1.80017404,48.9,52.2,16.7,107.1,105.034,0.6923,0.3333,-3.602,0.954831,-2.64716,34,7.2,62
"Wing G","Sr","6-2",5.0091,2.4545,0.9091,0.5455,0.2727,0.1818,0.8,0.5,0.5,0.100000003666361,5.4549998,78.6,75.47,16.4,153.9,95.9569,0.75,0.8333,3.07294,6.3976,9.47055,28.6,7.7,58
"PF/C","Sr","6-6",18.0333,3.037,2.5926,1.2222,0.4074,0.4815,0.581,0,0.588,0.481499986154216,2.53831783,57.1,57.69,9.6,117,108.623,0.7188,0.4333,-0.341651,2.61624,2.27459,27,3.9,76
"Scoring PG","Sr","6-4",32.6724,13,5.5862,5.7586,1.7931,0.3793,0.463,0.368,0.699,2.93099987752975,1.96472202,49.5,53.49,24.5,106.5,99.7322,0.5115,0.3509,0.942423,2.16761,3.11004,41.8,3.3,83
"Stretch 4","Sr","6-10",25.4189,9.4324,6.6757,1.9189,0.7027,0.6757,0.604,0.314,0.735,1.48650000958258,1.29088462,54.3,57.32,20.3,114.7,94.8509,0.6538,0.1429,2.71063,3.73804,6.44867,31.3,3.9,90
"Wing G","Sr","6-5",31.6407,19.3704,3.2963,1.2593,0.5926,0.1111,0.497,0.399,0.894,0.740700012271869,1.70014848,55.1,58.81,23.6,123.5,107.824,0.65,0.4783,4.82539,-1.2521,3.57329,21.9,2.3,85
"Stretch 4","Sr","6-7",24.2818,8.3636,4.2727,2.6364,0.7273,1.0909,0.455,0.381,0.733,1.63639999102723,1.61109754,49.2,51.99,20,103.2,100.469,0.4688,0.4167,0.796555,2.13153,2.92809,23.1,3,81
"Wing G","Sr","6-3",23.475,6.375,6,2.5,0.5,0.25,0.611,0.571,0.2,2.5,1,71.9,68.36,16.8,100.9,101.007,0.7143,0.25,0.0194733,0.469026,0.488499,15.6,3.5,68
"Combo G","Sr","6-2",20.2682,6.0455,1.7273,2.4091,0.8636,0.3182,0.494,0.267,0.862,1.54550000514504,1.55878356,48,53.23,18.8,97,110.216,0.6383,0.3056,-2.1532,-1.4784,-3.6316,29.6,2.6,64
"Stretch 4","Sr","6-4",15.2686,4.2,2.4571,0.2571,0.3143,0.0571,0.643,0.4,0.778,0.314300016272452,0.81800823,60.6,62.19,12,128.9,107.208,0.6667,0.6,2.25613,-0.608983,1.64715,17.3,3.8,63
"Combo G","Sr","5-10",30.1222,15.7222,2.1667,1.75,0.9444,0.1111,0.456,0.382,0.881,1.69439995972169,1.032814,51.4,55.56,23.9,112.1,105.873,0.5647,0.3864,2.79352,0.0621526,2.85567,23.5,2,72
"Stretch 4","Jr","6-10",14.4897,3.3793,2.2759,1,0.4483,0.4483,0.622,0.167,0.586,0.896600007594202,1.11532455,43.8,46.67,16.7,92.6,101.73,0.7333,0.1429,-4.36602,1.38349,-2.98253,39.7,4.7,62
"Stretch 4","Sr","6-7",28.803,8.2121,6.9394,0.9091,1.3636,0.6667,0.538,0.353,0.791,0.575800004308208,1.57884681,53.3,55.96,13.7,126.5,95.5927,0.5493,0.4286,3.28341,1.96725,5.25066,20.4,2.3,81
"C","Sr","6-10",16.6571,4.0357,3.7857,0.7857,0.3929,0.1429,0.481,0,0.818,1.03569993206457,0.75861741,48.1,52.6,13.8,96,112.701,0.5538,0.0833,-3.60795,-0.997285,-4.60523,28.6,2.7,48
"Combo G","Sr","6-4",20.7235,7.8824,2.3824,1.1471,1.1471,0.2647,0.5,0.312,0.732,0.764700012804775,1.50006536,48.4,51.47,17.9,106.5,98.1267,0.5128,0.4737,-0.598438,2.67656,2.07812,24.9,4.6,76
"Scoring PG","Sr","6-2",36.4937,13.8438,2.5312,4,0.75,0.2188,0.475,0.387,0.849,2.15619993135306,1.85511554,52.3,57.75,19.9,111.6,113.556,0.5214,0.3833,2.92782,0.131865,3.05969,36.4,2.1,81
"Scoring PG","Sr","6-2",22.7265,6.0882,2.0882,3.2941,0.6471,0.1471,0.443,0.32,0.8,2.26469990715287,1.4545415,45.7,47.88,19.6,89.5,108.644,0.4667,0.4194,-2.49421,-0.877663,-3.37188,12.7,2.6,63
"Combo G","Sr","6-3",31.0312,11.9062,3.125,1.4375,0.75,0.25,0.426,0.383,0.714,1.65620005836737,0.8679507,52.4,53.5,18.9,101.1,116.136,0.5283,0.3273,-0.352683,-2.549,-2.90169,11,1.6,64
"C","Jr","6-8",19.8031,9.6875,4.9688,0.6562,0.6562,0.0312,0.588,0,0.604,1.65620007280516,0.39620817,58.8,59.79,23.9,106.4,108.081,0.712,0.3387,-0.916455,-1.48244,-2.3989,54,5.2,65
"Stretch 4","Sr","6-8",4.3467,0.3333,0.6,0.0667,0.0667,0.1333,0.2,0.167,0,0.200000011994004,0.33349998,22.7,22.73,10.7,44.8,114.752,0.3333,0,-10.0184,-2.50553,-12.5239,0,5.5,33
"Wing G","Sr","6-5",31.4061,16.3636,4.5455,1.4545,1.0909,0.3939,0.53,0.37,0.797,1.81820004620691,0.79996698,53.8,57.77,25.6,111,109.539,0.5915,0.43,3.28324,-0.655088,2.62815,32.1,3,78
"PF/C","Jr","6-10",13.3346,4.4231,3.1154,0.5,0.5385,0.4231,0.44,0.167,0.722,1.1153999478439,0.4482697,41.4,47.07,20.2,87.4,98.6434,0.5,0.3333,-6.36883,0.631498,-5.73734,41.4,6.7,54
"PF/C","Sr","6-7",16.0462,4.0385,3.3462,0.5,0.5769,0.3462,0.702,0,0.667,0.653800013167532,0.76475985,67.8,68.18,13.2,125,107.408,0.7292,0.5556,0.627267,0.395584,1.02285,40.7,3.3,50
"Scoring PG","Jr","6-3",12.0667,1.697,0.8788,1,0.3333,0.0606,0.267,0.36,0.813,0.878799976135308,1.13791537,39.1,44.73,12.4,83.7,114.41,0.2941,0.2308,-4.3793,-0.48377,-4.86307,29.1,3.9,62
"C","Jr","6-10",24.0059,11.7059,7.3529,1.5882,0.9118,1.1176,0.608,0.148,0.619,1.52940001412109,1.03844644,57.3,58.34,23.6,114.7,101.303,0.7394,0.3981,4.61304,2.37043,6.98347,32.9,3.2,88
"Combo G","Sr","6-3",33.2312,16.4062,4.0625,2.5,1.1875,0.4062,0.459,0.392,0.836,2.5,1,52.3,56.56,24.5,106.7,106.539,0.5263,0.3333,2.96689,1.02352,3.99041,28.4,2.6,83
"Wing G","Jr","6-7",18.5394,5.8182,3.2121,0.7576,0.6667,0.1515,0.388,0.382,0.73,0.7576,1,48.1,54.07,17.3,107,104.475,0.4375,0.2632,-0.207371,1.03459,0.827221,54.8,3.6,65
"PF/C","Sr","6-6",27.5867,11.1,5.2333,2.1,1.1333,0.8,0.609,0,0.583,1.66670008003494,1.25997474,58.5,59.16,21.7,111.9,110.629,0.7008,0.4429,-0.0073515,-1.07012,-1.07747,58.5,4.3,69
"Stretch 4","Sr","6-9",5.4308,1.6923,0.6154,0.2308,0,0.0769,0.4,0.1,0,0.461499983723527,0.50010836,27.5,27.5,19.5,49.6,117.017,0.4286,0.3333,-10.4162,-6.20798,-16.6242,0,2,47
"Stretch 4","Sr","6-8",20.3667,6.3,3.4333,1.2667,0.7667,0.5333,0.604,0.263,0.529,1.2332999435897,1.02708186,54.7,54.79,18.2,104.5,110.907,0.6857,0.4194,-0.774406,0.538709,-0.235697,24.5,4.2,62
"Wing F","Jr","6-9",15.5143,5.6071,2.8929,0.6786,0.4286,0.25,0.456,0.205,0.644,0.535700012729388,1.26675375,41.5,44.99,22,99,107.177,0.549,0.3654,-0.256761,0.125045,-0.131716,31.7,2.8,68
"Wing F","Sr","6-7",16.1622,7.027,3.3243,0.7568,0.4865,0.2162,0.482,0.197,0.861,0.621599973197608,1.21750327,42.2,51.39,21.6,111.2,97.1184,0.6232,0.3429,2.06251,2.87054,4.93305,49.3,2.6,78
"Scoring PG","Jr","6-0",22.8429,8.7143,1.1429,0.4286,0.5714,0,0.133,0.206,0.5,0.999999976668223,0.42860001,25.5,28.75,19.8,65.6,109.742,0,0.25,-8.93805,-3.95501,-12.8931,28.6,3.8,63
"C","Sr","6-10",18.3972,4.0833,3.5278,0.4444,0.6111,0.2222,0.545,0,0.646,0.833299971957693,0.53330135,54.5,58.55,13.7,112.5,106.85,0.6308,0.3043,-0.056094,1.79713,1.74103,89.8,4.8,77
"Wing F","Jr","6-9",30.7611,20.0833,6.5,2.1667,0.6944,0.3056,0.597,0.429,0.648,2.19440017675925,0.98737688,59.8,61.19,31.1,118.1,107.374,0.7346,0.4908,6.75026,1.14442,7.89468,42.8,3.8,91
"Scoring PG","Jr","6-2",1.2222,0.8889,0.1111,0.1111,0.1111,0,0.667,0,0,0.1111,1,44.4,44.44,40.4,86.7,92.7786,0.8,0,-8.67254,1.26019,-7.41235,0,7.3,43
"Wing F","Jr","6-8",4.4667,2,0.7778,0.4444,0.1111,0,0.5,0.75,0.75,0.55559997327019,0.79985605,75,75.63,22.2,108,105.7,0.6,0,3.15788,2.45117,5.60905,40,2,60
"PF/C","Sr","6-7",5.58,1.4,1.2,0.4,0,0,0,0,0,0.2,2,0,0,23.7,0,119.997,0,0,-27.6724,-18.3717,-46.0441,0,0,43
"PF/C","Sr","6-5",13.56,4.64,4.28,0.56,0.52,0.44,0.556,0.167,0.676,1.1599999536,0.48275864,53.4,56.23,20.6,103.2,95.1753,0.6197,0.1,-1.07436,2.92069,1.84633,39.1,5.5,80
"Wing G","So","6-6",6.5591,2,1,0.2273,0.1818,0.0909,0.684,0.333,0.667,0.36359997891664,0.62513755,64,65.57,14.3,113.5,105.801,0.7692,0.5,-0.149876,-0.0759292,-0.225805,72,3,68
"PF/C","Jr","6-11",13.52,4.2,3.5333,0.6333,0.1,0.5667,0.6,0.304,0.605,1.03330003103979,0.61289072,56.3,57.52,19,100.9,116.945,0.6429,0.5217,-2.28325,-2.27305,-4.55631,43.2,3.2,50
"PF/C","Sr","6-6",17.2556,8.6667,5.3889,1.3056,0.2778,0.3889,0.635,0.25,0.823,1.24999995212929,1.04448004,63,66.8,23.2,125.8,104.214,0.7075,0.5465,5.95441,1.39839,7.35279,40.3,3.2,84
"C","Sr","6-10",15.7344,4.8438,2.7188,0.3438,0.6875,0.6875,0.637,0,0.609,0.968799990734688,0.35487201,63,63.32,16.9,106.6,100.957,0.7547,0.4737,-1.84047,2.21382,0.373358,69.6,5.7,70
"Wing G","Sr","6-2",31.2067,17.0333,3.4333,1.1667,1.1667,0.0667,0.496,0.327,0.681,2.76670002974434,0.42169371,49.4,52.66,28.7,95.2,117.922,0.5464,0.3,-0.677712,-4.69124,-5.36895,36.5,2.9,65
"Wing F","Sr","6-9",12.9914,3.6286,2.0571,0.8,0.3714,0.5429,0.49,0.217,0.467,0.600000015,1.3333333,45.9,46.27,16.7,98.1,110.528,0.5645,0.3684,-1.04624,0.818082,-0.228156,24.4,4.2,71
"Combo G","Sr","6-5",18.6581,4.0968,1.5161,1.5806,0.2581,0.1935,0.437,0.419,0.733,0.77420001140385,2.04159129,50.9,52.43,14.9,101,113.432,0.5,0.2632,-1.60245,-0.607364,-2.20981,13.2,2.6,68
"Combo G","Sr","6-2",28.4794,14.2647,4.0294,3.1471,0.9412,0.2941,0.5,0.356,0.817,2.26469995251477,1.38963221,51.5,55.05,27.4,110.3,109.212,0.6033,0.3684,3.61182,-0.856081,2.75574,23.8,2.2,77
"Wing G","Sr","6-7",7.5364,1.5,1.0455,0.2273,0.1364,0.0455,0.375,0.24,1,0.1817999909124,1.25027509,36.4,39.22,13.4,87.3,116.317,0.25,0.5,-3.29028,-3.41415,-6.70444,9.1,1.8,52
"C","Sr","6-8",16.4061,3.9697,4.697,0.2424,0.3939,0.6364,0.667,0,0.395,0.636399967297863,0.38089254,66.7,60.94,12,113.9,103.13,0.7273,0.4286,-2.24645,0.0395475,-2.20691,62.3,5.7,66
"PF/C","Sr","6-9",5.4167,0.4583,1.25,0.2083,0.2917,0.0833,0.375,0,0.6,0.291700011562972,0.71408979,33.3,39.56,10.1,91.5,102.464,0.6,0,-7.31749,0.532985,-6.78451,55.6,8.4,40
"Wing G","Jr","6-5",26.365,8.85,2.8,1.2,0.7,0.15,0.459,0.313,0.914,1.09999998075,1.09090911,46.5,51.67,17.2,109.7,110.193,0.6154,0.3429,1.70796,0.350326,2.05829,24.3,3,80
"Scoring PG","Sr","6-0",14.6471,5.6765,2.1176,1.5882,0.8824,0.0294,0.561,0.333,0.721,0.823499991421227,1.92859747,55.8,58.75,20.5,115.4,106.998,0.573,0.52,-1.77448,1.13703,-0.637456,35.8,6.6,65
"Combo G","Sr","6-1",34.6818,13.8182,2.9394,1.4848,1.0606,0.1818,0.545,0.355,0.911,1.51520003405935,0.97993662,53.8,58.11,18.2,111.1,114.805,0.6092,0.4222,1.22022,-1.89252,-0.672306,24,2.4,69
"Scoring PG","Sr","5-9",30.3774,10.6452,2.7419,3.7742,1.5806,0.0645,0.469,0.35,0.824,2.32259990881171,1.6249893,48.6,53.2,23.5,102.4,105.861,0.5135,0.3971,-1.32431,-0.203224,-1.52753,28.6,2.6,72
"Combo G","Jr","6-4",35.8344,13.7812,5.3438,2.7812,1.6875,0.3438,0.504,0.28,0.772,3.31250006773998,0.83960753,45.6,51.94,22.8,94.8,110.749,0.5481,0.3714,-1.59371,-0.142337,-1.73605,45.2,2.6,69
"Wing G","Sr","6-5",7.7385,0.8077,1.4615,0.3462,0.3077,0.1154,0.471,0,0.2,0.192300013082733,1.80031189,47.1,43.87,7.7,104.1,102.612,0.5,0.4,-2.89573,1.80621,-1.08952,29.4,3.4,51
"Combo G","Sr","6-5",34.2784,12.9189,3.7027,2.6486,1.4054,0.0811,0.409,0.337,0.744,1.72969990209556,1.53124828,45.4,49.12,21.9,101.2,104.568,0.4583,0.3571,-0.229297,0.324352,0.0950555,27.1,2.2,76
"Scoring PG","Sr","6-0",36.3852,17.4815,2.3333,4.4074,0.7778,0.1481,0.394,0.384,0.846,2.66669980730229,1.65275446,49.5,52.89,26.1,105.4,111.821,0.5082,0.3333,2.37293,-2.08885,0.284083,19.8,1.3,74
"Wing G","Jr","6-6",34.356,12.2,5.92,1.6,1.76,0.24,0.618,0.227,0.835,1.63999995982,0.97560978,51.7,58.64,18.2,115.2,110.311,0.6491,0.4118,0.993701,-0.517459,0.476242,50,2.8,74
"Wing G","Sr","6-2",30.4226,13.0968,2.7742,0.7742,0.6452,0.0968,0.486,0.379,0.944,0.645199996623159,1.19993801,56,59.24,16.9,123.7,105.076,0.5263,0.4375,4.0386,1.16374,5.20234,17,2,84
"Wing F","Sr","6-7",22.025,7.4688,3.9375,0.875,0.5312,0.375,0.469,0.427,0.704,0.875,1,54.5,55.63,17.3,111.8,109.57,0.5818,0.3621,2.05617,0.653961,2.71013,13.4,3,72
"Wing G","Sr","6-3",22.7259,7.2593,3.9259,0.963,0.6296,0.4074,0.529,0.301,0.694,0.666700003974584,1.44442777,48.4,51.55,16.6,107.5,105.832,0.5818,0.3077,-1.43231,0.173835,-1.25847,30.4,3.7,66
"Scoring PG","Jr","6-0",28.3771,9.0571,2.2571,3.2,0.6,0.0286,0.413,0.403,0.792,2.08570000537329,1.53425708,52.3,56.1,17.9,106.1,107.772,0.4821,0.3333,-1.24515,-0.883604,-2.12875,29.6,2.9,66
"Wing F","Sr","6-5",29.7471,12.9118,6.5588,1.0882,1,0.4412,0.5,0.326,0.776,1.58820002119741,0.68517818,49.6,52.92,23.4,99.5,98.759,0.5342,0.482,-0.733895,-0.685198,-1.41909,24.5,2.4,72
"Combo G","Sr","6-2",29.7875,13.1562,4.0625,3.1562,1.25,0.0938,0.452,0.398,0.74,2.1875000541469,1.44283425,53.1,55.46,23.8,109,107.464,0.5091,0.3191,2.25666,1.17553,3.43219,22.4,3.4,80
"Scoring PG","Sr","6-0",25.8,4.3824,2.7941,2.8529,1,0.0882,0.385,0.298,0.784,1.05879997350124,2.6944655,42.3,46.88,12.4,98,110.184,0.5,0.3571,-3.21353,0.257121,-2.95641,27.2,2.7,66
"Wing G","Sr","6-6",26.1833,6.3333,3.6667,2.8333,0.5,0.1667,0.591,0.167,0.643,1.16669995781218,2.42847356,51.8,54.83,16.5,112.5,117.487,0.6,0.5714,-0.111677,-1.4559,-1.56757,50,3.2,67
"PF/C","Sr","6-10",31.7273,16.1515,7.0606,1.2727,0.4848,1.4545,0.522,0.435,0.748,2.12120018162954,0.59999052,54.4,56.98,24.7,110.2,111.589,0.5986,0.4639,2.07626,-1.23438,0.841877,25.1,3.2,75
"PF/C","Sr","6-10",26.9613,14.3871,7.4839,2.9677,0.7742,0.3871,0.571,0.328,0.659,2.61290000450964,1.13578782,55.7,57.26,30.2,107.4,106.293,0.6343,0.3594,2.66739,-0.85719,1.8102,26.7,4.2,72
"Wing G","Sr","6-5",20.2065,4.5806,2.1613,1.129,0.3548,0.2258,0.477,0.338,1,0.4516000054192,2.49999997,49.6,53.73,11.9,114.6,112.485,0.5,0.3333,-1.77311,-1.92227,-3.69538,16.9,2.6,55
"Scoring PG","Sr","6-4",33.8029,19.2059,4.4706,5.8824,1.3824,0.2647,0.586,0.311,0.648,1.85290001768325,3.17469909,54.1,55.08,29.2,118.1,101.735,0.6408,0.45,6.79393,2.52141,9.31534,16,2.6,91
"Combo G","Jr","6-2",12.2667,5.1,1.1,0.5333,0.4333,0.0667,0.358,0.302,0.787,0.833300025291195,0.63998558,40.4,48.12,23.7,95,112.062,0.4107,0.0909,-2.73855,-0.579554,-3.31811,46.9,5.7,58
"Combo G","Sr","6-0",20.775,6,1.875,1,0.75,0.125,0.182,0.375,0.6,1.12499999859375,0.88888889,44.3,46.54,15.6,88.2,111.228,0.2857,0,-5.77816,-1.94365,-7.72181,28.6,4.7,56
"Combo G","So","6-1",18.6972,8.6667,1.5,0.8056,0.3056,0.0833,0.4,0.333,0.815,0.833300008918462,0.96675866,46,52.11,22.4,104.1,110.49,0.4773,0.3171,0.0695001,-1.30542,-1.23592,38.4,2.3,70
"Wing G","Jr","6-5",16.7542,4.0417,1.625,0.7917,0.75,0.7083,0.468,0.286,0.463,0.874999990329355,0.90480001,45.6,46.3,14.5,89.5,104.949,0.4595,0.5,-3.68903,1.34178,-2.34725,60.3,4.9,60
"Scoring PG","Sr","6-3",28.6848,12.4545,2.5152,3.1515,1.2121,0.1212,0.428,0.375,0.907,2.42420007512828,1.30001646,48.5,54.9,24.2,102.7,107.331,0.4167,0.4348,1.86291,0.735583,2.59849,33.4,1.8,80
"Wing G","Sr","6-1",29.4867,10.4,2.8,0.6333,1.1667,0.0333,0.619,0.405,0.717,0.499999996052424,1.26660001,60.9,62.35,14.2,121.6,108.643,0.65,0,0.502155,0.0717475,0.573903,24,2.8,72
"C","Sr","6-10",11.0194,2.8065,2.9677,0.5484,0.2258,0.1613,0.524,0,0.289,0.483900022408171,1.13329195,52.4,47.5,16.2,94.4,99.824,0.6047,0.35,-4.81691,1.6274,-3.18951,60.3,7.9,50
"PF/C","Sr","6-9",19.6759,8.7586,4.4828,0.5172,0.3793,0.3103,0.529,0.429,0.61,1.34480001560093,0.3845925,53.4,55.08,23.7,105,103.573,0.5548,0.4063,-0.591093,-0.751756,-1.34285,39.7,4.3,72
"Wing F","Sr","6-8",5.9714,1.5714,1.1905,0.8095,0.0952,0.1905,0.6,0.182,0.167,0.190500010849911,4.24934359,46.2,43.33,17.3,101,111.692,0.6429,0,-2.42374,-1.499,-3.92274,23.1,3.6,56
