"Name","School","Rating"
"JaKobe Coles","Grand Canyon",89.8
"Great Osobor","Washington",89.8
"Nolan Hickman","Gonzaga",89.8
"Cole Hargrove","Drexel",89.8
"Tyler Bilodeau","UCLA",89.8
"Jack Clark","VCU",89.7
"Kadin Shedrick","Texas",89.7
"Nijel Pack","Miami FL",89.7
"Dayvion McKnight","Xavier",89.7
"Nate Johnson","Akron",89.7
"Zach Hicks","Penn St.",89.7
"Ishmael Leggett","Pittsburgh",89.6
"Jalen Leach","Northwestern",89.6
"Tyrese Hunter","Memphis",89.6
"Allen David Mukeba","Oakland",89.6
"Reed Bailey","Davidson",89.6
"James Scott","Louisville",89.6
"Jackson Shelstad","Oregon",89.6
"Brandon Noel","Wright St.",89.5
"Matthew Cleveland","Miami FL",89.5
"Caden Pierce","Princeton",89.5
"Desmond Claude","USC",89.5
"Nate Kingz","Oregon St.",89.5
"Jahmyl Telfort","Butler",89.4
"Chance McMillian","Texas Tech",89.4
"Rodney Rice","Maryland",89.3
"Josh Ojianwuna","Baylor",89.3
"Joseph Tugler","Houston",89.3
"Amarion Dickerson","Robert Morris",89.3
"Eddie Lampkin","Syracuse",89.2
"Nick Boyd","San Diego St.",89.2
"PJay Smith","Furman",89.2
"V.J. Edgecombe","Baylor",89.2
"Dajuan Harris Jr.","Kansas",89.1
"Rylan Jones","Samford",89.1
"Darius Hannah","Bradley",89.1
"Nick Kern","Penn St.",89.1
"Duke Deen","Bradley",89.1
"John Blackwell","Wisconsin",89.1
"Chase Walker","Illinois St.",89.1
"Rasheed Bello","Purdue Fort Wayne",89.1
"Asa Newell","Georgia",89.1
"Keyshawn Hall","UCF",89
"Zach Cleveland","Liberty",89
"Lynn Kidd","Miami FL",88.9
"Jaemyn Brakefield","Mississippi",88.9
"Jalon Moore","Oklahoma",88.9
"Wooga Poplar","Villanova",88.9
"Jacari White","North Dakota St.",88.9
"KJ Lewis","Arizona",88.9
"Christian Anderson","Texas Tech",88.9
"Keeshawn Barthelemy","Oregon",88.8
"Colin Porter","Liberty",88.8
"Adrian Wooley","Kennesaw St.",88.8
"Matt Cross","SMU",88.7
"Langston Reynolds","Northern Colorado",88.7
"Martin Somerville","UMass Lowell",88.7
"Robert Wright","Baylor",88.7
"Latrell Wrightsell Jr.","Alabama",88.6
"Jhamir Brickus","Villanova",88.6
"Kellen Tynes","Maine",88.6
"Will Pruitt","Lipscomb",88.6
"Javohn Garcia","McNeese St.",88.6
"Geronimo Rubio De La Rosa","Columbia",88.6
"Javan Simmons","Toledo",88.6
"Damarco Minor","Oregon St.",88.6
"Christoph Tilly","Santa Clara",88.6
"Peter Suder","Miami OH",88.6
"Jaland Lowe","Pittsburgh",88.6
"Anthony Robinson II","Missouri",88.6
"Moustapha Thiam","UCF",88.6
"Kelton Talford","Winthrop",88.5
"Drew Thelwell","Iowa",88.5
"Dylan Arnett","Cleveland St.",88.5
"Malik Reneau","Indiana",88.5
"Paulius Murauskas","Saint Mary's",88.5
"Bobby Durkin","Davidson",88.5
"Melvin Council Jr.","St. Bonaventure",88.5
"Obi Agbim","Wyoming",88.5
"Myles Tate","Appalachian St.",88.4
"Jahmai Mashack","Tennessee",88.4
"Johnathan Lawson","Little Rock",88.4
"Will Richard","Florida",88.4
"Malachi Smith","Dayton",88.4
"Samson Johnson","Connecticut",88.4
"Tamar Bates","Missouri",88.4
"Christian Davis","Bradley",88.4
"Tobe Awaka","Arizona",88.4
"Silas Demary Jr.","Georgia",88.4
"Markus Burton","Notre Dame",88.4
"Andersson Garcia","Texas A&M",88.3
"Boubacar Coulibaly","Pepperdine",88.3
"Justin Vander Baan","Lafayette",88.3
"Otis Frazier III","UTEP",88.3
"Jamir Watkins","Florida St.",88.3
"Kyler Filewich","Wofford",88.2
"Stephan Swenson","UC Santa Barbara",88.2
"Alston Mason","Arizona St.",88.2
"Pharrel Payne","Texas A&M",88.2
"Seth Trimble","North Carolina",88.2
"Isaac McKneely","Virginia",88.2
"Terrence Edwards Jr.","Louisville",88.1
"Matthew-Alexander Moncrieffe","Seattle",88.1
"Leo Colimerio","Queens",88.1
"Lamont Butler","Kentucky",88.1
"Tyrel Morgan","Texas St.",88.1
"David Joplin","Marquette",88.1
"Frank Champion","Chattanooga",88.1
"Jalen Terry","Eastern Michigan",88
"Dishon Jackson","Iowa St.",88
"Frankie Collins","TCU",88
"Josh Bascoe","Bucknell",88
"Bryce Hopkins","Providence",88
"Marcus Boykin","Sam Houston St.",88
"Brock Harding","Iowa",88
"Tylan Pope","Texas St.",87.9
"Terrance Williams II","USC",87.9
"John Poulakidas","Yale",87.9
"Tuongthach Gatkek","Little Rock",87.9
"Isaiah Swope","Saint Louis",87.9
"Joseph Pinion","Arkansas St.",87.9
"Nate Calmese","Washington St.",87.9
"Andrew Rohde","Virginia",87.9
"Trevan Leonhardt","Utah Valley",87.9
"Sean Newman Jr.","Louisiana Tech",87.9
"Baye Ndongo","Georgia Tech",87.9
"Isaac Jessup","Cal Poly",87.9
"Flory Bidunga","Kansas",87.9
"Babacar Faye","Western Kentucky",87.8
"Aidan Kehoe","Navy",87.8
"Mason Nicholson","Jacksonville St.",87.8
"Taelon Peter","Liberty",87.8
"Duke Miles","Oklahoma",87.7
"Dwon Odom","Tulsa",87.7
"Nimari Burnett","Michigan",87.7
"Bash Wieland","Chattanooga",87.7
"Cam Carter","LSU",87.7
"Tarris Reed Jr.","Connecticut",87.7
"Zvonimir Ivisic","Arkansas",87.7
"Liam McNeeley","Connecticut",87.7
"Javian McCollum","Georgia Tech",87.6
"Adama Bal","Santa Clara",87.6
"Guy Ragland Jr.","Cornell",87.6
"AJ Clayton","Ohio",87.6
"Efton Reid","Wake Forest",87.6
"CJ Fulton","Charleston",87.6
"Keba Keita","BYU",87.6
"Jordan Marsh","UNC Asheville",87.6
"Jonathan Pierre","Belmont",87.6
"Jaron Rillie","Northern Colorado",87.5
"Dre Davis","Mississippi",87.5
"Jordan Longino","Villanova",87.5
"Reyne Smith","Louisville",87.5
"Kenyon Giles","UNC Greensboro",87.5
"Javon Bennett","Dayton",87.5
"Mouhamed Dioubate","Alabama",87.5
"Tru Washington","New Mexico",87.5
"Morez Johnson Jr.","Illinois",87.5
"Jordan Ivy-Curry","UCF",87.4
"Christian Shumate","McNeese St.",87.4
"Obinna Anochili-Killen","Marshall",87.4
"Micah Parrish","Ohio St.",87.4
"Tyler McGhie","UC San Diego",87.4
"Jaden Brownell","Samford",87.4
"Kendall Blue","St. Thomas",87.4
"Kalu Anya","Saint Louis",87.4
"Cameron Corhen","Pittsburgh",87.4
"Jeremy Fears Jr.","Michigan St.",87.4
"Masiah Gilyard","Manhattan",87.4
"Connor Kochera","Davidson",87.3
"Drake Dobbs","St. Thomas",87.3
"Chris Howell","UC San Diego",87.3
"Trevon Brazile","Arkansas",87.3
"Aidan Hadaway","Ohio",87.3
"Ugnius Jarusevicius","Central Michigan",87.3
"Lamar Wilkerson","Sam Houston St.",87.3
"Samage Teel","Indiana St.",87.3
"Blaise Threatt","Weber St.",87.3
"Dylan Faulkner","Lipscomb",87.3
"Brooks Barnhizer","Northwestern",87.2
"Fousseyni Traore","BYU",87.2
"Jizzle James","Cincinnati",87.2
"Puff Johnson","Penn St.",87.1
"Max Klesmit","Wisconsin",87.1
"Izaiyah Nelson","Arkansas St.",87.1
"Nick Martinelli","Northwestern",87.1
"Adam Clark","Merrimack",87.1
"Tidjiane Dioumassi","Southern",87.1
"Carter Bryant","Arizona",87.1
"Micah Peavy","Georgetown",87
"Ray'Sean Taylor","SIU Edwardsville",87
"Jonas Aidoo","Arkansas",87
"Matt Allocco","Notre Dame",87
"Kimani Hamilton","High Point",87
"Ryan Curry","Army",87
"Tyler Harris","Washington",87
"Doctor Bradley","Arkansas Pine Bluff",87
"Joe Pridgen","Montana",86.9
"Donovan Newby","UNC Wilmington",86.9
"Carter Whitt","Belmont",86.9
"Pierre Brooks","Butler",86.9
"Jaxon Kohler","Michigan St.",86.9
"Milan Momcilovic","Iowa St.",86.9
"Connor Withers","Bryant",86.8
"Tramon Mark","Texas",86.8
"Jaden Seymour","East Tennessee St.",86.8
"John Camden","Delaware",86.8
"Trey Campbell","Northern Iowa",86.8
"Tyeree Bryan","Santa Clara",86.8
"Miles Rubin","Loyola Chicago",86.8
"Khalif Battle","Gonzaga",86.7
"Carson Towt","Northern Arizona",86.7
"Erik Reynolds II","Saint Joseph's",86.7
"Noah Reynolds","TCU",86.7
"Rashad King","Northeastern",86.7
"Braden Huff","Gonzaga",86.7
"Devin Haid","Central Connecticut",86.7
"Patrick McCaffery","Butler",86.6
"Matthew Nicholson","Northwestern",86.6
"Javonte Brown","Rhode Island",86.6
"CJ Huntley","Appalachian St.",86.6
"Kasean Pryor","Louisville",86.6
"Jeremy Roach","Baylor",86.6
"A.J. Hoggard","Vanderbilt",86.6
"Themus Fulks","Milwaukee",86.6
"Robert McCray","Jacksonville",86.6
"Malik Dia","Mississippi",86.6
"N.J. Benson","DePaul",86.6
"Rueben Chinyelu","Florida",86.6
"Dedan Thomas Jr.","UNLV",86.6
"Boogie Fland","Arkansas",86.6
"Tyon Grant-Foster","Grand Canyon",86.5
"Nicholas Jourdain","Memphis",86.5
"Jordan Riley","East Carolina",86.5
"Basheer Jihad","Arizona St.",86.5
"Bryce Johnson","UMBC",86.5
"Barrington Hargress","UC Riverside",86.5
"Devin Dinkins","Manhattan",86.5
"Rowan Brumbaugh","Tulane",86.5
"Isaiah Hawthorne","Northern Colorado",86.4
"Viktor Lakhin","Clemson",86.4
"Chuck Harris","SMU",86.4
"Ronald Polite III","UNC Greensboro",86.4
"Jacari Lane","North Alabama",86.4
"Dane Erikstrup","Washington St.",86.4
"Chase Ross","Marquette",86.4
"Jean Aranguren","Hofstra",86.4
"Owen Aquino","Liberty",86.4
"Nick Anderson","Furman",86.4
"Nate Lliteras","North Florida",86.3
"Aaron Scott","St. John's",86.3
"Jaden Akins","Michigan St.",86.3
"Malik Moore","Montana",86.3
"BJ Freeman","Arizona St.",86.3
"Marcus Adams Jr.","Cal St. Northridge",86.3
"Elijah Mahi","Santa Clara",86.3
"Will Riley","Illinois",86.3
"Nico Galette","Youngstown St.",86.2
"Chris Manon","Vanderbilt",86.2
"Nazir Williams","Cornell",86.2
"Saint Thomas","USC",86.2
"Jalen Reed","LSU",86.2
"Landon Lewis","Brown",86.2
"Tyrone Riley IV","San Francisco",86.2
"TJ Bamba","Oregon",86.1
"Koby Brea","Kentucky",86.1
"Tre Coleman","Nevada",86.1
"Carlos Stewart","Santa Clara",86.1
"Jackson Paveletzke","Ohio",86.1
"Jlynn Counter","Middle Tennessee",86.1
"Jamar Brown","UMKC",86.1
"Andrew Meadow","Boise St.",86.1
"Jase Richardson","Michigan St.",86.1
"Gabe Madsen","Utah",86
"Ethan Price","Washington St.",86
"Tre Holloman","Michigan St.",86
"Cooper Bowser","Furman",86
"Myles Corey","South Alabama",86
"Nolan Minessale","St. Thomas",86
"Darius Maddox","George Mason",85.9
"Daimion Collins","LSU",85.9
"Jack Payne","Idaho",85.9
"Leon Bond III","Northern Iowa",85.9
"George Kimble III","Eastern Kentucky",85.9
"Labaron Philon","Alabama",85.9
"Bensley Joseph","Providence",85.8
"Julian Hammond III","Colorado",85.8
"Ethan Taylor","Air Force",85.8
"Wesley Yates III","USC",85.8
"Owen Koonce","Cal Poly",85.8
"Kaden Metheny","Liberty",85.7
"Sam Sherry","Elon",85.7
"Corneilous Williams","North Alabama",85.7
"Ben Gold","Marquette",85.7
"Nik Graves","Charlotte",85.7
"Taylor Bol Bowen","Florida St.",85.7
"Andrej Stojakovic","California",85.7
"Matthew Van Komen","Elon",85.6
"Delonnie Hunt","Richmond",85.6
"Josh Uduje","San Jose St.",85.6
"Simas Lukosius","Cincinnati",85.6
"Eric Mulder","Purdue Fort Wayne",85.6
"Barry Evans","Bryant",85.6
"Jordan Pope","Texas",85.6
"Bryan Etumnu","Merrimack",85.6
"Tre White","Illinois",85.6
"C.J. Walker","East Carolina",85.5
"Nate Martin","Marshall",85.5
"Mady Sissoko","California",85.5
"Tony Perkins","Missouri",85.5
"Mustapha Amzil","New Mexico",85.5
"Jalen Haynes","George Mason",85.5
"Marchelus Avery","Oklahoma St.",85.5
"Rob Martin","Southeast Missouri St.",85.5
"Sonny Wilson","Toledo",85.5
"Samet Yigitoglu","SMU",85.5
"Donnie Freeman","Syracuse",85.5
"Javontae Campbell","Bowling Green",85.5
"T.J. Weeks Jr.","Rider",85.4
"Denijay Harris","Southern Miss",85.4
"Eduardo Andre","West Virginia",85.4
"Adam Miller","Arizona St.",85.4
"Johnell Davis","Arkansas",85.4
"Jamal West Jr.","Nicholls St.",85.4
"Dalton Banks","Illinois St.",85.4
"Honor Huff","Chattanooga",85.4
"Khamari McGriff","UNC Wilmington",85.4
"Montavious Myrick","Eastern Kentucky",85.4
"Kenny Pohto","UC Santa Barbara",85.4
"Zavian McLean","Florida Gulf Coast",85.4
"Dasonte Bowen","St. Bonaventure",85.4
"Dallin Hall","BYU",85.4
"Tuburu Naivalurua","Oakland",85.4
"Corey Chest","LSU",85.4
"Malik Mack","Georgetown",85.4
"Javan Buchanan","Boise St.",85.4
"Jeremiah ""Bear"" Cherry","UNLV",85.4
"Julian Rishwain","UNLV",85.3
"Dji Bailey","LSU",85.3
"Kobe Knox","South Florida",85.3
"Tre Carroll","Florida Atlantic",85.3
"Jalen Lake","Colorado St.",85.3
"Roddy Gayle Jr.","Michigan",85.3
"Bryce Lindsay","James Madison",85.3
"Coen Carr","Michigan St.",85.3
"James Dent Jr.","Northern Illinois",85.3
"Andrew Holifield","Lamar",85.3
"Taryn Todd","Arkansas St.",85.2
"Modestas Kancleris","Illinois Chicago",85.2
"Sam Towns","Bowling Green",85.2
"Jordan Sears","LSU",85.2
"RJ Felton","East Carolina",85.2
"Raekwon Horton","UTSA",85.2
"Isaiah Walker","Belmont",85.2
"Tre Dinkins","Duquesne",85.2
"Brendan Hausen","Kansas St.",85.2
"Harlan Obioha","UNC Wilmington",85.2
"Jordan Ross","Saint Mary's",85.2
"Chase Forte","South Dakota",85.2
"Sean Smith","Western Illinois",85.2
"Eian Elmer","Miami OH",85.2
"Trevin Knell","BYU",85.1
"Keeshawn Kellman","Florida Gulf Coast",85.1
"Noel Brown","St. Bonaventure",85.1
"Rollie Worster","Nebraska",85.1
"Jamarii Thomas","South Carolina",85.1
"Daniel Rivera","Massachusetts",85.1
"Amani Lyles","Akron",85.1
"Dug McDaniel","Kansas St.",85.1
"Cruz Davis","Hofstra",85.1
"Duke Brennan","Grand Canyon",85.1
"Terrance Arceneaux","Houston",85.1
"Kyan Evans","Colorado St.",85.1
"Marcus Millender","UTSA",85.1
"Jaxson Robinson","Kentucky",85
"Nick Pringle","South Carolina",85
"Gyasi Powell","Lipscomb",85
"Kamari McGee","Wisconsin",85
"Ndewedo Newbury","San Francisco",85
"Nate Santos","Dayton",85
"Claudell Harris Jr.","Mississippi St.",85
"Jayden Pierre","Providence",85
"Christian Coleman","UAB",85
"Ben Humrichous","Illinois",85
"Keanu Dawes","Utah",85
"Andrew Cook","Eastern Washington",85
"Abou Ousmane","Oklahoma St.",84.9
"Henry Coleman III","Texas A&M",84.9
"Quinton Mincey","UMass Lowell",84.9
"Matt Rogers","American",84.9
"Chance Moore","St. Bonaventure",84.9
"Kario Oquendo","SMU",84.9
"Cameron Hildreth","Wake Forest",84.9
"Tavari Johnson","Akron",84.9
"Jakevion Buckley","Southeastern Louisiana",84.9
"Oziyah Sellers","Stanford",84.9
"Tyrese Proctor","Duke",84.9
"Samson Aletan","Yale",84.9
"Michael Graham","Hofstra",84.8
"Tevin Smith","Cleveland St.",84.8
"Stevie Mitchell","Marquette",84.8
"Barry Dunning Jr.","South Alabama",84.8
"Ven-Allen Lubin","North Carolina",84.8
"Dan Skillings Jr.","Cincinnati",84.8
"Lajae Jones","St. Bonaventure",84.8
"Kennard Davis Jr.","Southern Illinois",84.8
"Brandon Garrison","Kentucky",84.8
"D'Maurian Williams","High Point",84.7
"Chris Youngblood","Alabama",84.7
"Atin Wright","North Texas",84.7
"Cesare Edwards","Georgia St.",84.7
"Ja'Vier Francis","Houston",84.7
"Tyler Nickel","Vanderbilt",84.7
"Tanner Toolson","Utah Valley",84.7
"Cooper Schwieger","Valparaiso",84.7
"Ahmad Robinson","Mercer",84.7
"Ty Berry","Northwestern",84.6
"Lu'cye Patterson","Minnesota",84.6
"Sam Vinson","Northern Kentucky",84.6
"Terrance Ford Jr.","Arkansas St.",84.6
"Tae Davis","Notre Dame",84.6
"Jordan Jones","Central Connecticut",84.6
"Motiejus Krivas","Arizona",84.6
"Sam Lewis","Toledo",84.6
"Don McHenry","Western Kentucky",84.6
"David Green","Rhode Island",84.5
"Tre-Vaughn Minott","Portland St.",84.5
"Carter Welling","Utah Valley",84.5
"Blue Cain","Georgia",84.5
"Jalen Hill","UNLV",84.4
"Gibson Jimerson","Saint Louis",84.4
"Sam Hines, Jr.","Southeastern Louisiana",84.4
"Andre Screen","Butler",84.4
"Joe Charles","McNeese St.",84.4
"Jevon Porter","Loyola Marymount",84.4
"Drake Allen","Utah St.",84.4
"Maliq Brown","Duke",84.4
"Max Jones","Kansas St.",84.4
"Brandon Mitchell-Day","Dartmouth",84.4
"Garry Clark","Texas A&M Corpus Chris",84.4
"Elliot Cadeau","North Carolina",84.4
"Tanner Cuff","Evansville",84.4
"Oswin Erhunmwunse","Providence",84.4
"Mwani Wilkinson","Little Rock",84.3
"Alex Holt","Mercer",84.3
"Sam Godwin","Oklahoma",84.3
"Mike Mitchell Jr.","Minnesota",84.3
"Amarri Monroe","Quinnipiac",84.3
"Jake Fiegen","Cornell",84.3
"Miles Barnstable","St. Thomas",84.3
"Trey Robinson","Northern Kentucky",84.2
"Trey Fort","Samford",84.2
"Nolan Dorsey","Campbell",84.2
"Jedy Cordilia","Mount St. Mary's",84.2
"Keith Higgins Jr.","Lehigh",84.2
"Payton Sparks","Ball St.",84.2
"Brenen Lorient","North Texas",84.2
"Nikolaos Chitikoudis","North Carolina A&T",84.2
"Egor Demin","BYU",84.2
"Dominick Nelson","Utah Valley",84.2
"Kasen Harrison","Winthrop",84.1
"Shamir Bogues","Vermont",84.1
"Jaron Pierre Jr.","Jacksonville St.",84.1
"Jamal Mashburn, Jr.","Temple",84.1
"Isaiah Gray","Akron",84.1
"Corey Tripp","Wofford",84.1
"Kenny Noland","Columbia",84.1
"Shammah Scott","Akron",84.1
"Simeon Cottle","Kennesaw St.",84.1
"Marcus Hill","N.C. State",84.1
"Drake Powell","North Carolina",84.1
"Rashaun Agee","USC",84
"Niko Rocak","UC Davis",84
"JaCobi Wood","Murray St.",84
"Sheldon Edwards Jr.","Loyola Chicago",84
"Quadir Copeland","McNeese St.",84
"Jason Fontenet II","UC Santa Barbara",84
"Kobe Julien","Arkansas St.",83.9
"Noah Collier","William & Mary",83.9
"Dylan Cardwell","Auburn",83.9
"Felix Okpara","Tennessee",83.9
"Skyy Clark","UCLA",83.9
"Josh Scovens","Army",83.9
"Gabe Dynes","Youngstown St.",83.9
"Elias Ralph","Pacific",83.9
"Moulaye Sissoko","North Texas",83.8
"Jamille Reynolds","South Florida",83.8
"Myles Rice","Indiana",83.8
"Brock Wisne","Northern Colorado",83.8
"Yame Butler","Drexel",83.7
"Riley Kugel","Mississippi St.",83.7
"Masen Miller","North Dakota St.",83.7
"Tyrone Marshall","Western Kentucky",83.7
"Aday Mara","UCLA",83.7
"John Broom","South Alabama",83.7
"Will Sydnor","Manhattan",83.7
"Terrell Ard Jr.","Mount St. Mary's",83.6
"Alex Huibregtse","Wright St.",83.6
"Andrej Jakimovski","Colorado",83.6
"Daeshun Ruffin","Jackson St.",83.6
"Robert Vaihola","San Jose St.",83.6
"Brandon Weston","Tennessee St.",83.6
"Jasin Sinani","Campbell",83.6
"Stefan Todorovic","Pepperdine",83.6
"Aaron Gray","Indiana St.",83.6
"Will Johnston","Loyola Marymount",83.6
"Blake Buchanan","Virginia",83.6
"BJ Davis","San Diego St.",83.6
"Sam Orme","Belmont",83.6
"Jacob Cofie","Virginia",83.6
"Tarence Guinyard","Tennessee Martin",83.6
"Tyler Tanner","Vanderbilt",83.6
"Jordan Wood","Stetson",83.5
"Kobe Stewart","Presbyterian",83.5
"Moussa Cisse","Memphis",83.5
"Kobe Elvis","Oklahoma",83.5
"Tyrin Lawrence","Georgia",83.5
"Luke Barrett","Saint Mary's",83.5
