Player,School,Rating,School_key,Conf,conf_tier,penalty_conf,Rating_add,conf_mult,gap,Rating_conf
Rodney Rice,Maryland,89.3,maryland,Big Ten,tier1,0.8,90.1,1,0.09999999999999432,90.1
Josh Ojianwuna,Baylor,89.3,baylor,B12,tier1,0.8,90.1,1,0.09999999999999432,90.1
Joseph Tugler,Houston,89.3,houston,B12,tier1,0.8,90.1,1,0.09999999999999432,90.1
Amarion Dickerson,Robert Morris,89.3,robert morris,Horizon,low,-2,87.3,0.7,0,90
Eddie Lampkin,Syracuse,89.2,syracuse,ACC,tier1,0.8,90,1,0,90
Nick Boyd,San Diego St.,89.2,san diego st,Mountain West,tier1,0.8,90,1,0,90
PJay Smith,Furman,89.2,furman,SoCon,low,-2,87.2,0.7,0,90
V.J. Edgecombe,Baylor,89.2,baylor,B12,tier1,0.8,90,1,0,90
Dajuan Harris Jr.,Kansas,89.1,kansas,B12,tier1,0.8,89.89999999999999,1,0,90
Rylan Jones,Samford,89.1,samford,SoCon,low,-2,87.1,0.7,0,90
Darius Hannah,Bradley,89.1,bradley,MVC,mid,-0.4,88.69999999999999,0.9,0,90
Nick Kern,Penn St.,89.1,penn st,Big Ten,tier1,0.8,89.89999999999999,1,0,90
Duke Deen,Bradley,89.1,bradley,MVC,mid,-0.4,88.69999999999999,0.9,0,90
John Blackwell,Wisconsin,89.1,wisconsin,Big Ten,tier1,0.8,89.89999999999999,1,0,90
Chase Walker,Illinois St.,89.1,illinois st,MVC,mid,-0.4,88.69999999999999,0.9,0,90
Rasheed Bello,Purdue Fort Wayne,89.1,purdue fort wayne,Horizon,low,-2,87.1,0.7,0,90
Asa Newell,Georgia,89.1,georgia,SEC,tier1,0.8,89.89999999999999,1,0,90
Keyshawn Hall,UCF,89,ucf,B12,tier1,0.8,89.8,1,0,90
Zach Cleveland,Liberty,89,liberty,CUSA,mid,-0.4,88.6,0.9,0,90
Lynn Kidd,Miami FL,88.9,miami fl,ACC,tier1,0.8,89.7,1,0,90
Jaemyn Brakefield,Mississippi,88.9,mississippi,SEC,tier1,0.8,89.7,1,0,90
Jalon Moore,Oklahoma,88.9,oklahoma,SEC,tier1,0.8,89.7,1,0,90
Wooga Poplar,Villanova,88.9,villanova,Big East,tier1,0.8,89.7,1,0,90
Jacari White,North Dakota St.,88.9,north dakota st,Summit League,low,-2,86.9,0.7,0,90
KJ Lewis,Arizona,88.9,arizona,B12,tier1,0.8,89.7,1,0,90
Christian Anderson,Texas Tech,88.9,texas tech,B12,tier1,0.8,89.7,1,0,90
Keeshawn Barthelemy,Oregon,88.8,oregon,Big Ten,tier1,0.8,89.6,1,0,90
Colin Porter,Liberty,88.8,liberty,CUSA,mid,-0.4,88.39999999999999,0.9,0,90
Adrian Wooley,Kennesaw St.,88.8,kennesaw st,CUSA,mid,-0.4,88.39999999999999,0.9,0,90
Matt Cross,SMU,88.7,smu,ACC,tier1,0.8,89.5,1,0,90
Langston Reynolds,Northern Colorado,88.7,northern colorado,Big Sky,low,-2,86.7,0.7,0,90
Martin Somerville,UMass Lowell,88.7,umass lowell,AEC,low,-2,86.7,0.7,0,90
Robert Wright,Baylor,88.7,baylor,B12,tier1,0.8,89.5,1,0,90
Latrell Wrightsell Jr.,Alabama,88.6,alabama,SEC,tier1,0.8,89.39999999999999,1,0,90
Jhamir Brickus,Villanova,88.6,villanova,Big East,tier1,0.8,89.39999999999999,1,0,90
Kellen Tynes,Maine,88.6,maine,AEC,low,-2,86.6,0.7,0,90
Will Pruitt,Lipscomb,88.6,lipscomb,ASUN,low,-2,86.6,0.7,0,90
Javohn Garcia,McNeese St.,88.6,mcneese st,Southland,low,-2,86.6,0.7,0,90
Geronimo Rubio De La Rosa,Columbia,88.6,columbia,Ivy League,low,-2,86.6,0.7,0,90
Javan Simmons,Toledo,88.6,toledo,MAC,low,-2,86.6,0.7,0,90
Damarco Minor,Oregon St.,88.6,oregon st,WCC,mid,-0.4,88.19999999999999,0.9,0,90
Christoph Tilly,Santa Clara,88.6,santa clara,WCC,mid,-0.4,88.19999999999999,0.9,0,90
Peter Suder,Miami OH,88.6,miami oh,MAC,low,-2,86.6,0.7,0,90
Jaland Lowe,Pittsburgh,88.6,pittsburgh,ACC,tier1,0.8,89.39999999999999,1,0,90
Anthony Robinson II,Missouri,88.6,missouri,SEC,tier1,0.8,89.39999999999999,1,0,90
Moustapha Thiam,UCF,88.6,ucf,B12,tier1,0.8,89.39999999999999,1,0,90
Kelton Talford,Winthrop,88.5,winthrop,Big South,low,-2,86.5,0.7,0,90
Drew Thelwell,Iowa,88.5,iowa,Big Ten,tier1,0.8,89.3,1,0,90
Dylan Arnett,Cleveland St.,88.5,cleveland st,Horizon,low,-2,86.5,0.7,0,90
Malik Reneau,Indiana,88.5,indiana,Big Ten,tier1,0.8,89.3,1,0,90
Paulius Murauskas,Saint Mary's,88.5,saint mary s,WCC,mid,-0.4,88.1,0.9,0,90
Bobby Durkin,Davidson,88.5,davidson,A10,mid,-0.4,88.1,0.9,0,90
Melvin Council Jr.,St. Bonaventure,88.5,st bonaventure,A10,mid,-0.4,88.1,0.9,0,90
Obi Agbim,Wyoming,88.5,wyoming,Mountain West,tier1,0.8,89.3,1,0,90
Myles Tate,Appalachian St.,88.4,appalachian st,Sun Belt,mid,-0.4,88,0.9,0,90
Jahmai Mashack,Tennessee,88.4,tennessee,SEC,tier1,0.8,89.2,1,0,90
Johnathan Lawson,Little Rock,88.4,little rock,OVC,low,-2,86.4,0.7,0,90
Will Richard,Florida,88.4,florida,SEC,tier1,0.8,89.2,1,0,90
Malachi Smith,Dayton,88.4,dayton,A10,mid,-0.4,88,0.9,0,90
Samson Johnson,Connecticut,88.4,connecticut,Big East,tier1,0.8,89.2,1,0,90
Tamar Bates,Missouri,88.4,missouri,SEC,tier1,0.8,89.2,1,0,90
Christian Davis,Bradley,88.4,bradley,MVC,mid,-0.4,88,0.9,0,90
Tobe Awaka,Arizona,88.4,arizona,B12,tier1,0.8,89.2,1,0,90
Silas Demary Jr.,Georgia,88.4,georgia,SEC,tier1,0.8,89.2,1,0,90
Markus Burton,Notre Dame,88.4,notre dame,ACC,tier1,0.8,89.2,1,0,90
Andersson Garcia,Texas A&M,88.3,texas a m,SEC,tier1,0.8,89.1,1,0,90
Boubacar Coulibaly,Pepperdine,88.3,pepperdine,WCC,mid,-0.4,87.89999999999999,0.9,0,90
Justin Vander Baan,Lafayette,88.3,lafayette,Patriot,low,-2,86.3,0.7,0,90
Otis Frazier III,UTEP,88.3,utep,CUSA,mid,-0.4,87.89999999999999,0.9,0,90
Jamir Watkins,Florida St.,88.3,florida st,ACC,tier1,0.8,89.1,1,0,90
Kyler Filewich,Wofford,88.2,wofford,SoCon,low,-2,86.2,0.7,0,90
Stephan Swenson,UC Santa Barbara,88.2,uc santa barbara,Big West,low,-2,86.2,0.7,0,90
Alston Mason,Arizona St.,88.2,arizona st,B12,tier1,0.8,89,1,0,90
Pharrel Payne,Texas A&M,88.2,texas a m,SEC,tier1,0.8,89,1,0,90
Seth Trimble,North Carolina,88.2,north carolina,ACC,tier1,0.8,89,1,0,90
Isaac McKneely,Virginia,88.2,virginia,ACC,tier1,0.8,89,1,0,90
Terrence Edwards Jr.,Louisville,88.1,louisville,ACC,tier1,0.8,88.89999999999999,1,0,90
Matthew-Alexander Moncrieffe,Seattle,88.1,seattle,WAC,mid,-0.4,87.69999999999999,0.9,0,90
Leo Colimerio,Queens,88.1,queens,ASUN,low,-2,86.1,0.7,0,90
Lamont Butler,Kentucky,88.1,kentucky,SEC,tier1,0.8,88.89999999999999,1,0,90
Tyrel Morgan,Texas St.,88.1,texas st,Sun Belt,mid,-0.4,87.69999999999999,0.9,0,90
David Joplin,Marquette,88.1,marquette,Big East,tier1,0.8,88.89999999999999,1,0,90
Frank Champion,Chattanooga,88.1,chattanooga,SoCon,low,-2,86.1,0.7,0,90
Jalen Terry,Eastern Michigan,88,eastern michigan,MAC,low,-2,86,0.7,0,90
Dishon Jackson,Iowa St.,88,iowa st,B12,tier1,0.8,88.8,1,0,90
Frankie Collins,TCU,88,tcu,B12,tier1,0.8,88.8,1,0,90
Josh Bascoe,Bucknell,88,bucknell,Patriot,low,-2,86,0.7,0,90
Bryce Hopkins,Providence,88,providence,Big East,tier1,0.8,88.8,1,0,90
Marcus Boykin,Sam Houston St.,88,sam houston st,CUSA,mid,-0.4,87.6,0.9,0,90
Brock Harding,Iowa,88,iowa,Big Ten,tier1,0.8,88.8,1,0,90
Tylan Pope,Texas St.,87.9,texas st,Sun Belt,mid,-0.4,87.5,0.9,0,90
Terrance Williams II,USC,87.9,usc,Big Ten,tier1,0.8,88.7,1,0,90
John Poulakidas,Yale,87.9,yale,Ivy League,low,-2,85.9,0.7,0,90
Tuongthach Gatkek,Little Rock,87.9,little rock,OVC,low,-2,85.9,0.7,0,90
Isaiah Swope,Saint Louis,87.9,saint louis,A10,mid,-0.4,87.5,0.9,0,90
Joseph Pinion,Arkansas St.,87.9,arkansas st,Sun Belt,mid,-0.4,87.5,0.9,0,90
Nate Calmese,Washington St.,87.9,washington st,WCC,mid,-0.4,87.5,0.9,0,90
Andrew Rohde,Virginia,87.9,virginia,ACC,tier1,0.8,88.7,1,0,90
Trevan Leonhardt,Utah Valley,87.9,utah valley,WAC,mid,-0.4,87.5,0.9,0,90
Sean Newman Jr.,Louisiana Tech,87.9,louisiana tech,CUSA,mid,-0.4,87.5,0.9,0,90
Baye Ndongo,Georgia Tech,87.9,georgia tech,ACC,tier1,0.8,88.7,1,0,90
Isaac Jessup,Cal Poly,87.9,cal poly,Big West,low,-2,85.9,0.7,0,90
Flory Bidunga,Kansas,87.9,kansas,B12,tier1,0.8,88.7,1,0,90
Babacar Faye,Western Kentucky,87.8,western kentucky,CUSA,mid,-0.4,87.39999999999999,0.9,0,90
Aidan Kehoe,Navy,87.8,navy,Patriot,low,-2,85.8,0.7,0,90
Mason Nicholson,Jacksonville St.,87.8,jacksonville st,CUSA,mid,-0.4,87.39999999999999,0.9,0,90
Taelon Peter,Liberty,87.8,liberty,CUSA,mid,-0.4,87.39999999999999,0.9,0,90
Duke Miles,Oklahoma,87.7,oklahoma,SEC,tier1,0.8,88.5,1,0,90
Dwon Odom,Tulsa,87.7,tulsa,AAC,mid,-0.4,87.3,0.9,0,90
Nimari Burnett,Michigan,87.7,michigan,Big Ten,tier1,0.8,88.5,1,0,90
Bash Wieland,Chattanooga,87.7,chattanooga,SoCon,low,-2,85.7,0.7,0,90
Cam Carter,LSU,87.7,lsu,SEC,tier1,0.8,88.5,1,0,90
Tarris Reed Jr.,Connecticut,87.7,connecticut,Big East,tier1,0.8,88.5,1,0,90
Zvonimir Ivisic,Arkansas,87.7,arkansas,SEC,tier1,0.8,88.5,1,0,90
Liam McNeeley,Connecticut,87.7,connecticut,Big East,tier1,0.8,88.5,1,0,90
Javian McCollum,Georgia Tech,87.6,georgia tech,ACC,tier1,0.8,88.39999999999999,1,0,90
Adama Bal,Santa Clara,87.6,santa clara,WCC,mid,-0.4,87.19999999999999,0.9,0,90
Guy Ragland Jr.,Cornell,87.6,cornell,Ivy League,low,-2,85.6,0.7,0,90
AJ Clayton,Ohio,87.6,ohio,MAC,low,-2,85.6,0.7,0,90
Efton Reid,Wake Forest,87.6,wake forest,ACC,tier1,0.8,88.39999999999999,1,0,90
CJ Fulton,Charleston,87.6,charleston,CAA,low,-2,85.6,0.7,0,90
Keba Keita,BYU,87.6,byu,B12,tier1,0.8,88.39999999999999,1,0,90
Jordan Marsh,UNC Asheville,87.6,unc asheville,Big South,low,-2,85.6,0.7,0,90
Jonathan Pierre,Belmont,87.6,belmont,MVC,mid,-0.4,87.19999999999999,0.9,0,90
Jaron Rillie,Northern Colorado,87.5,northern colorado,Big Sky,low,-2,85.5,0.7,0,90
Dre Davis,Mississippi,87.5,mississippi,SEC,tier1,0.8,88.3,1,0,90
Jordan Longino,Villanova,87.5,villanova,Big East,tier1,0.8,88.3,1,0,90
Reyne Smith,Louisville,87.5,louisville,ACC,tier1,0.8,88.3,1,0,90
Kenyon Giles,UNC Greensboro,87.5,unc greensboro,SoCon,low,-2,85.5,0.7,0,90
Javon Bennett,Dayton,87.5,dayton,A10,mid,-0.4,87.1,0.9,0,90
Mouhamed Dioubate,Alabama,87.5,alabama,SEC,tier1,0.8,88.3,1,0,90
Tru Washington,New Mexico,87.5,new mexico,Mountain West,tier1,0.8,88.3,1,0,90
Morez Johnson Jr.,Illinois,87.5,illinois,Big Ten,tier1,0.8,88.3,1,0,90
Jordan Ivy-Curry,UCF,87.4,ucf,B12,tier1,0.8,88.2,1,0,90
Christian Shumate,McNeese St.,87.4,mcneese st,Southland,low,-2,85.4,0.7,0,90
Obinna Anochili-Killen,Marshall,87.4,marshall,Sun Belt,mid,-0.4,87,0.9,0,90
