Player,School,Rating,School_key,Conf,conf_tier,penalty_conf,Rating_add,conf_mult,gap,Rating_conf
Deuce Turner,UC Santa Barbara,73.7,uc santa barbara,Big West,low,-2,71.7,0.7,0,90
Austin Patterson,Montana,73.7,montana,Big Sky,low,-2,71.7,0.7,0,90
Theo Seng,Troy,73.7,troy,Sun Belt,mid,-0.4,73.3,0.9,0,90
Jayme Mitchell Jr.,Jackson St.,73.7,jackson st,SWAC,low,-2,71.7,0.7,0,90
Keyontae Lewis,Wagner,73.7,wagner,NEC,low,-2,71.7,0.7,0,90
Jan Vide,Loyola Marymount,73.7,loyola marymount,WCC,mid,-0.4,73.3,0.9,0,90
Matt Mayock,American,73.7,american,Patriot,low,-2,71.7,0.7,0,90
Jaxon Pollard,Queens,73.7,queens,ASUN,low,-2,71.7,0.7,0,90
Karmani Gregory,USC Upstate,73.7,usc upstate,Big South,low,-2,71.7,0.7,0,90
Greedy Williams,UNC Wilmington,73.7,unc wilmington,CAA,low,-2,71.7,0.7,0,90
Michael Jacobs,Southern,73.7,southern,SWAC,low,-2,71.7,0.7,0,90
Shon Robinson,Incarnate Word,73.6,incarnate word,Southland,low,-2,71.6,0.7,0,90
Kasen Jennings,South Florida,73.6,south florida,AAC,mid,-0.4,73.19999999999999,0.9,0,90
Shemar Rathan-Mayes,Mercyhurst,73.6,mercyhurst,NEC,low,-2,71.6,0.7,0,90
Lincoln Ball,American,73.6,american,Patriot,low,-2,71.6,0.7,0,90
Markeith Browning II,Lindenwood,73.6,lindenwood,OVC,low,-2,71.6,0.7,0,90
Touko Tainamo,Wyoming,73.6,wyoming,Mountain West,tier1,0.8,74.39999999999999,1,0,90
Giovanni Emejuru,George Mason,73.6,george mason,A10,mid,-0.4,73.19999999999999,0.9,0,90
Javon Ruffin,Colorado,73.6,colorado,B12,tier1,0.8,74.39999999999999,1,0,90
Seth Hubbard,Toledo,73.6,toledo,MAC,low,-2,71.6,0.7,0,90
Davion Sykes,Southern Illinois,73.6,southern illinois,MVC,mid,-0.4,73.19999999999999,0.9,0,90
Kaleb Smith,UC Riverside,73.6,uc riverside,Big West,low,-2,71.6,0.7,0,90
Shawn Phillips Jr.,Arizona St.,73.6,arizona st,B12,tier1,0.8,74.39999999999999,1,0,90
J.P. Estrella,Tennessee,73.6,tennessee,SEC,tier1,0.8,74.39999999999999,1,0,90
Kenyon Goodin,Bellarmine,73.6,bellarmine,ASUN,low,-2,71.6,0.7,0,90
Ben Michaels,Buffalo,73.6,buffalo,MAC,low,-2,71.6,0.7,0,90
KyKy Tandy,Florida Atlantic,73.5,florida atlantic,AAC,mid,-0.4,73.1,0.9,0,90
Kenny Hunter,Texas Southern,73.5,texas southern,SWAC,low,-2,71.5,0.7,0,90
Tyson Acuff,Rutgers,73.5,rutgers,Big Ten,tier1,0.8,74.3,1,0,90
Alem Huseinovic,Rice,73.5,rice,AAC,mid,-0.4,73.1,0.9,0,90
John Christofilis,Seattle,73.5,seattle,WAC,mid,-0.4,73.1,0.9,0,90
Fredrick King,Creighton,73.5,creighton,Big East,tier1,0.8,74.3,1,0,90
Chauncey Wiggins,Clemson,73.5,clemson,ACC,tier1,0.8,74.3,1,0,90
Evan Mahaffey,Ohio St.,73.5,ohio st,Big Ten,tier1,0.8,74.3,1,0,90
Greg Gordon,UAB,73.5,uab,AAC,mid,-0.4,73.1,0.9,0,90
Tyshawn Archie,Tulsa,73.5,tulsa,AAC,mid,-0.4,73.1,0.9,0,90
Jamyron Keller,Oklahoma St.,73.5,oklahoma st,B12,tier1,0.8,74.3,1,0,90
Zaire Hayes,Texas Southern,73.5,texas southern,SWAC,low,-2,71.5,0.7,0,90
Tyler Doyle,Bellarmine,73.5,bellarmine,ASUN,low,-2,71.5,0.7,0,90
Martel Williams,Cal Baptist,73.4,cal baptist,WAC,mid,-0.4,73,0.9,0,90
Truth Harris,Radford,73.4,radford,Big South,low,-2,71.4,0.7,0,90
Lamar Oden Jr.,Charleston Southern,73.4,charleston southern,Big South,low,-2,71.4,0.7,0,90
Andre Weir,Kennesaw St.,73.4,kennesaw st,CUSA,mid,-0.4,73,0.9,0,90
Benny Williams,UCF,73.4,ucf,B12,tier1,0.8,74.2,1,0,90
Mekhi Collins,Nicholls St.,73.4,nicholls st,Southland,low,-2,71.4,0.7,0,90
Jonathan Beagle,Richmond,73.4,richmond,A10,mid,-0.4,73,0.9,0,90
Kyle Layton,Tennessee Tech,73.4,tennessee tech,OVC,low,-2,71.4,0.7,0,90
Reggie Ward Jr.,Bethune Cookman,73.4,bethune cookman,SWAC,low,-2,71.4,0.7,0,90
Dalen Davis,Princeton,73.4,princeton,Ivy League,low,-2,71.4,0.7,0,90
Jordan Burks,Georgetown,73.4,georgetown,Big East,tier1,0.8,74.2,1,0,90
Arlandus Keyes,Mount St. Mary's,73.4,mount st mary s,MAAC,low,-2,71.4,0.7,0,90
Malcolm Noel,West Georgia,73.4,west georgia,ASUN,low,-2,71.4,0.7,0,90
Roger McFarlane,Boston College,73.3,boston college,ACC,tier1,0.8,74.1,1,0,90
Camden Heide,Purdue,73.3,purdue,Big Ten,tier1,0.8,74.1,1,0,90
Demarion Watson,Iowa St.,73.3,iowa st,B12,tier1,0.8,74.1,1,0,90
Andrew King,Elon,73.3,elon,CAA,low,-2,71.3,0.7,0,90
Brady Dunlap,St. John's,73.3,st john s,Big East,tier1,0.8,74.1,1,0,90
Mekhi Cooper,Miami OH,73.3,miami oh,MAC,low,-2,71.3,0.7,0,90
Arne Osojnik,Eastern Michigan,73.3,eastern michigan,MAC,low,-2,71.3,0.7,0,90
JB Frankel,Northeastern,73.3,northeastern,CAA,low,-2,71.3,0.7,0,90
Cooper Koch,Iowa,73.3,iowa,Big Ten,tier1,0.8,74.1,1,0,90
Ashton Williamson,FIU,73.3,fiu,CUSA,mid,-0.4,72.89999999999999,0.9,0,90
C.J. Cox,Purdue,73.3,purdue,Big Ten,tier1,0.8,74.1,1,0,90
Kody Clouet,San Diego,73.3,san diego,WCC,mid,-0.4,72.89999999999999,0.9,0,90
Carlos Paez,Southeastern Louisiana,73.2,southeastern louisiana,Southland,low,-2,71.2,0.7,0,90
Jordan Davis,Illinois St.,73.2,illinois st,MVC,mid,-0.4,72.8,0.9,0,90
Jamie Bergens,Fairfield,73.2,fairfield,MAAC,low,-2,71.2,0.7,0,90
Tyler Beard,Cal St. Northridge,73.2,cal st northridge,Big West,low,-2,71.2,0.7,0,90
Dariyus Woodson,North Dakota,73.2,north dakota,Summit League,low,-2,71.2,0.7,0,90
Robby Carmody,Le Moyne,73.1,le moyne,NEC,low,-2,71.1,0.7,0,90
Cole Henry,Wyoming,73.1,wyoming,Mountain West,tier1,0.8,73.89999999999999,1,0,90
Terren Frank,Campbell,73.1,campbell,CAA,low,-2,71.1,0.7,0,90
Petar Krivokapic,Pacific,73.1,pacific,WCC,mid,-0.4,72.69999999999999,0.9,0,90
Joryam Saizonou,UNC Greensboro,73.1,unc greensboro,SoCon,low,-2,71.1,0.7,0,90
Sean Hansen,George Washington,73.1,george washington,A10,mid,-0.4,72.69999999999999,0.9,0,90
Niyi Olabode,UC Riverside,73.1,uc riverside,Big West,low,-2,71.1,0.7,0,90
Lance Waddles,Nebraska Omaha,73.1,nebraska omaha,Summit League,low,-2,71.1,0.7,0,90
Rory Stewart,Florida Gulf Coast,73.1,florida gulf coast,ASUN,low,-2,71.1,0.7,0,90
Kyle Thomas,SIU Edwardsville,73.1,siu edwardsville,OVC,low,-2,71.1,0.7,0,90
Tafara Gapare,Maryland,73.1,maryland,Big Ten,tier1,0.8,73.89999999999999,1,0,90
Andrew Akuchie,Rice,73.1,rice,AAC,mid,-0.4,72.69999999999999,0.9,0,90
Jaylen Carey,Vanderbilt,73.1,vanderbilt,SEC,tier1,0.8,73.89999999999999,1,0,90
Jacob Beccles,Cornell,73.1,cornell,Ivy League,low,-2,71.1,0.7,0,90
Ryan Forrest,North Carolina A&T,73.1,north carolina a t,CAA,low,-2,71.1,0.7,0,90
Jayson Petty,UMKC,73.1,umkc,Summit League,low,-2,71.1,0.7,0,90
Tyler Boston,Holy Cross,73.1,holy cross,Patriot,low,-2,71.1,0.7,0,90
Ben Callahan-Gold,Binghamton,73.1,binghamton,AEC,low,-2,71.1,0.7,0,90
Jack Kostel,Chattanooga,73.1,chattanooga,SoCon,low,-2,71.1,0.7,0,90
Damarion Bonds,Central Michigan,73.1,central michigan,MAC,low,-2,71.1,0.7,0,90
Malachi Poindexter,Illinois St.,73,illinois st,MVC,mid,-0.4,72.6,0.9,0,90
Kaleb Scott,Presbyterian,73,presbyterian,Big South,low,-2,71,0.7,0,90
Isaiah Barnes,Tulsa,73,tulsa,AAC,mid,-0.4,72.6,0.9,0,90
Quincy Clark,UMass Lowell,73,umass lowell,AEC,low,-2,71,0.7,0,90
Brody Peebles,Belmont,73,belmont,MVC,mid,-0.4,72.6,0.9,0,90
Bol Dengdit,Portland,73,portland,WCC,mid,-0.4,72.6,0.9,0,90
Markus Harding,Indiana St.,73,indiana st,MVC,mid,-0.4,72.6,0.9,0,90
Aidan Shaw,Missouri,73,missouri,SEC,tier1,0.8,73.8,1,0,90
Noah Batchelor,Buffalo,73,buffalo,MAC,low,-2,71,0.7,0,90
Victor Panov,Drexel,73,drexel,CAA,low,-2,71,0.7,0,90
Gabe Spinelli,Chicago St.,73,chicago st,NEC,low,-2,71,0.7,0,90
Kellen Thames,Saint Louis,73,saint louis,A10,mid,-0.4,72.6,0.9,0,90
ND Okafor,Washington St.,73,washington st,WCC,mid,-0.4,72.6,0.9,0,90
Elijah Strong,Boston College,73,boston college,ACC,tier1,0.8,73.8,1,0,90
Kyle Marshall,Air Force,73,air force,Mountain West,tier1,0.8,73.8,1,0,90
Luke Flynn,Wofford,73,wofford,SoCon,low,-2,71,0.7,0,90
Ahmed Barba-Bey,Fairleigh Dickinson,73,fairleigh dickinson,NEC,low,-2,71,0.7,0,90
Ebrima Dibba,Cleveland St.,72.9,cleveland st,Horizon,low,-2,70.9,0.7,0,90
Austin Johnson,Long Beach St.,72.9,long beach st,Big West,low,-2,70.9,0.7,0,90
Joe Octave,Stony Brook,72.9,stony brook,CAA,low,-2,70.9,0.7,0,90
Joshua Ola-Joseph,California,72.9,california,ACC,tier1,0.8,73.7,1,0,90
Derrian Ford,Arkansas St.,72.9,arkansas st,Sun Belt,mid,-0.4,72.5,0.9,0,90
Brennan Rigsby,Minnesota,72.9,minnesota,Big Ten,tier1,0.8,73.7,1,0,90
Maximus Nelson,Purdue Fort Wayne,72.9,purdue fort wayne,Horizon,low,-2,70.9,0.7,0,90
Arnas Sakenis,SIU Edwardsville,72.9,siu edwardsville,OVC,low,-2,70.9,0.7,0,90
Bryce Ford,Toledo,72.9,toledo,MAC,low,-2,70.9,0.7,0,90
Isaiah Griffin,Idaho St.,72.9,idaho st,Big Sky,low,-2,70.9,0.7,0,90
Izzy Miles,Tarleton St.,72.9,tarleton st,WAC,mid,-0.4,72.5,0.9,0,90
Kaspar Sepp,Valparaiso,72.9,valparaiso,MVC,mid,-0.4,72.5,0.9,0,90
Jacoi Hutchinson,George Washington,72.9,george washington,A10,mid,-0.4,72.5,0.9,0,90
Mari Jordan,Tulane,72.9,tulane,AAC,mid,-0.4,72.5,0.9,0,90
Wesley Celichowski,Air Force,72.9,air force,Mountain West,tier1,0.8,73.7,1,0,90
Nyle Ralph-Beyer,Sacred Heart,72.9,sacred heart,MAAC,low,-2,70.9,0.7,0,90
Dontaie Allen,Wyoming,72.8,wyoming,Mountain West,tier1,0.8,73.6,1,0,90
B. Artis White,Richmond,72.8,richmond,A10,mid,-0.4,72.39999999999999,0.9,0,90
Ques Glover,Ohio St.,72.8,ohio st,Big Ten,tier1,0.8,73.6,1,0,90
Jaquan Scott,UTSA,72.8,utsa,AAC,mid,-0.4,72.39999999999999,0.9,0,90
Jamond Vincent,New Orleans,72.8,new orleans,Southland,low,-2,70.8,0.7,0,90
Ryan Dufault,St. Thomas,72.8,st thomas,Summit League,low,-2,70.8,0.7,0,90
Keiveon Hunt,Jackson St.,72.8,jackson st,SWAC,low,-2,70.8,0.7,0,90
KyeRon Lindsay,Murray St.,72.8,murray st,MVC,mid,-0.4,72.39999999999999,0.9,0,90
Isaiah Gaines,Radford,72.8,radford,Big South,low,-2,70.8,0.7,0,90
Sincere Malone,Nicholls St.,72.8,nicholls st,Southland,low,-2,70.8,0.7,0,90
Jerry Deng,Florida St.,72.8,florida st,ACC,tier1,0.8,73.6,1,0,90
Pape N'Diaye,UNLV,72.8,unlv,Mountain West,tier1,0.8,73.6,1,0,90
Quan Lax,Austin Peay,72.8,austin peay,ASUN,low,-2,70.8,0.7,0,90
Angelo Brizzi,Longwood,72.7,longwood,Big South,low,-2,70.7,0.7,0,90
Jaren Johnson,Howard,72.7,howard,MEAC,low,-2,70.7,0.7,0,90
Ryan Abelman,Northern Arizona,72.7,northern arizona,Big Sky,low,-2,70.7,0.7,0,90
Prince Aligbe,Seton Hall,72.7,seton hall,Big East,tier1,0.8,73.5,1,0,90
Elmore James,Ohio,72.7,ohio,MAC,low,-2,70.7,0.7,0,90
Shane Blakeney,Drexel,72.7,drexel,CAA,low,-2,70.7,0.7,0,90
Jordan Chatman,Florida A&M,72.7,florida a m,SWAC,low,-2,70.7,0.7,0,90
Jackson Holt,Eastern Kentucky,72.7,eastern kentucky,ASUN,low,-2,70.7,0.7,0,90
Kyle Evans,UC Irvine,72.7,uc irvine,Big West,low,-2,70.7,0.7,0,90
Deng Mayar,North Dakota,72.7,north dakota,Summit League,low,-2,70.7,0.7,0,90
Cade Phillips,Tennessee,72.7,tennessee,SEC,tier1,0.8,73.5,1,0,90
Tunde Vahlberg Fasasi,La Salle,72.7,la salle,A10,mid,-0.4,72.3,0.9,0,90
Darius Duffy,Milwaukee,72.7,milwaukee,Horizon,low,-2,70.7,0.7,0,90
Brandon Rechsteiner,Virginia Tech,72.7,virginia tech,ACC,tier1,0.8,73.5,1,0,90
Amar Augillard,Fresno St.,72.6,fresno st,Mountain West,tier1,0.8,73.39999999999999,1,0,90
George Smith,Penn,72.6,penn,Ivy League,low,-2,70.6,0.7,0,90
Ian Motta,Bucknell,72.6,bucknell,Patriot,low,-2,70.6,0.7,0,90
Derrick Tezeno,Southern,72.6,southern,SWAC,low,-2,70.6,0.7,0,90
Malcolm Chimezie,Boston University,72.6,boston university,Patriot,low,-2,70.6,0.7,0,90
J.R. Konieczny,Notre Dame,72.6,notre dame,ACC,tier1,0.8,73.39999999999999,1,0,90
Jakai Robinson,Bryant,72.6,bryant,AEC,low,-2,70.6,0.7,0,90
Christian May,Towson,72.6,towson,CAA,low,-2,70.6,0.7,0,90
Caelum Swanton-Rodger,Old Dominion,72.6,old dominion,Sun Belt,mid,-0.4,72.19999999999999,0.9,0,90
Jackson Hicke,Princeton,72.6,princeton,Ivy League,low,-2,70.6,0.7,0,90
Malcolm Wrisby-Jefferson,Brown,72.6,brown,Ivy League,low,-2,70.6,0.7,0,90
Nate Fouts,Le Moyne,72.6,le moyne,NEC,low,-2,70.6,0.7,0,90
Kalil Camara,Bethune Cookman,72.6,bethune cookman,SWAC,low,-2,70.6,0.7,0,90
Tomas Thrastarson,Washington St.,72.6,washington st,WCC,mid,-0.4,72.19999999999999,0.9,0,90
John-Paul Ricks,Prairie View A&M,72.6,prairie view a m,SWAC,low,-2,70.6,0.7,0,90
Josh Cohen,USC,72.5,usc,Big Ten,tier1,0.8,73.3,1,0,90
Latrell Jossell,North Texas,72.5,north texas,AAC,mid,-0.4,72.1,0.9,0,90
Donovan Williams,Western Michigan,72.5,western michigan,MAC,low,-2,70.5,0.7,0,90
Jordan Nesbitt,Wyoming,72.5,wyoming,Mountain West,tier1,0.8,73.3,1,0,90
Coleton Benson,Texas St.,72.5,texas st,Sun Belt,mid,-0.4,72.1,0.9,0,90
Cam Amboree,Southern,72.5,southern,SWAC,low,-2,70.5,0.7,0,90
Jalen Quinn,Loyola Chicago,72.5,loyola chicago,A10,mid,-0.4,72.1,0.9,0,90
Shaquil Bender,Manhattan,72.5,manhattan,MAAC,low,-2,70.5,0.7,0,90
EJ Neal,Sacramento St.,72.5,sacramento st,Big Sky,low,-2,70.5,0.7,0,90
Victor Valdes,Troy,72.5,troy,Sun Belt,mid,-0.4,72.1,0.9,0,90
Fidelis Okereke,Cal St. Bakersfield,72.4,cal st bakersfield,Big West,low,-2,70.4,0.7,0,90
Jace Roquemore,Vermont,72.4,vermont,AEC,low,-2,70.4,0.7,0,90
Lynn Greer III,Temple,72.4,temple,AAC,mid,-0.4,72,0.9,0,90
Wayne McKinney III,San Diego St.,72.4,san diego st,Mountain West,tier1,0.8,73.2,1,0,90
Davon Barnes,Mississippi,72.4,mississippi,SEC,tier1,0.8,73.2,1,0,90
Justin Bufford,Middle Tennessee,72.4,middle tennessee,CUSA,mid,-0.4,72,0.9,0,90
Rex Sunderland,New Hampshire,72.4,new hampshire,AEC,low,-2,70.4,0.7,0,90
Lee Dort,California,72.4,california,ACC,tier1,0.8,73.2,1,0,90
Reece Potter,Miami OH,72.4,miami oh,MAC,low,-2,70.4,0.7,0,90
Jahari Williamson,Niagara,72.4,niagara,MAAC,low,-2,70.4,0.7,0,90
Ace Talbert,Saint Francis,72.4,saint francis,NEC,low,-2,70.4,0.7,0,90
Stephon Roberts,Saint Peter's,72.4,saint peter s,MAAC,low,-2,70.4,0.7,0,90
Bruno Alocen,Indiana St.,72.4,indiana st,MVC,mid,-0.4,72,0.9,0,90
Kyric Davis,West Georgia,72.4,west georgia,ASUN,low,-2,70.4,0.7,0,90
Ethan Brittain-Watts,Ball St.,72.3,ball st,MAC,low,-2,70.3,0.7,0,90
Supreme Cook,Oregon,72.3,oregon,Big Ten,tier1,0.8,73.1,1,0,90
Christian Wright,Louisiana,72.3,louisiana,Sun Belt,mid,-0.4,71.89999999999999,0.9,0,90
JP Pegues,Auburn,72.3,auburn,SEC,tier1,0.8,73.1,1,0,90
Ernest Ross,Grambling St.,72.3,grambling st,SWAC,low,-2,70.3,0.7,0,90
Demetrius Davis,UNC Greensboro,72.3,unc greensboro,SoCon,low,-2,70.3,0.7,0,90
Christian Watson,Southern Miss,72.3,southern miss,Sun Belt,mid,-0.4,71.89999999999999,0.9,0,90
Danilo Jovanovich,Milwaukee,72.3,milwaukee,Horizon,low,-2,70.3,0.7,0,90
Kamari Lands,Middle Tennessee,72.3,middle tennessee,CUSA,mid,-0.4,71.89999999999999,0.9,0,90
Sean Cusano,Chattanooga,72.3,chattanooga,SoCon,low,-2,70.3,0.7,0,90
Joshua Ingram,Lehigh,72.3,lehigh,Patriot,low,-2,70.3,0.7,0,90
DeShawn Harris-Smith,Maryland,72.3,maryland,Big Ten,tier1,0.8,73.1,1,0,90
Justin Page,Niagara,72.3,niagara,MAAC,low,-2,70.3,0.7,0,90
Emmanuel Innocenti,Gonzaga,72.3,gonzaga,WCC,mid,-0.4,71.89999999999999,0.9,0,90
Cooper Campbell,Troy,72.3,troy,Sun Belt,mid,-0.4,71.89999999999999,0.9,0,90
Justin Menard,Iona,72.3,iona,MAAC,low,-2,70.3,0.7,0,90
Caleb Dorsey,William & Mary,72.2,william mary,CAA,low,-2,70.2,0.7,0,90
Brady Cummins,Colgate,72.2,colgate,Patriot,low,-2,70.2,0.7,0,90
Kanaan Carlyle,Indiana,72.2,indiana,Big Ten,tier1,0.8,73,1,0,90
Jordan Clayton,Northwestern,72.2,northwestern,Big Ten,tier1,0.8,73,1,0,90
Stoney Hadnot,South Dakota St.,72.2,south dakota st,Summit League,low,-2,70.2,0.7,0,90
Gianni Hunt,Bethune Cookman,72.1,bethune cookman,SWAC,low,-2,70.1,0.7,0,90
Jordan Roberts,Texas A&M Corpus Chris,72.1,texas a m corpus chris,Southland,low,-2,70.1,0.7,0,90
Cameron Crawford,Duquesne,72.1,duquesne,A10,mid,-0.4,71.69999999999999,0.9,0,90
Devin Hines,Lafayette,72.1,lafayette,Patriot,low,-2,70.1,0.7,0,90
Max Burton,Western Michigan,72.1,western michigan,MAC,low,-2,70.1,0.7,0,90
Reis Jones,Charleston Southern,72.1,charleston southern,Big South,low,-2,70.1,0.7,0,90
Ajay Sheldon,Ohio,72.1,ohio,MAC,low,-2,70.1,0.7,0,90
De'Ante Green,South Florida,72.1,south florida,AAC,mid,-0.4,71.69999999999999,0.9,0,90
Marcus Rigsby Jr.,Troy,72.1,troy,Sun Belt,mid,-0.4,71.69999999999999,0.9,0,90
Dante Sawyer,Arkansas Pine Bluff,72.1,arkansas pine bluff,SWAC,low,-2,70.1,0.7,0,90
Kaleb Stewart,South Dakota,72,south dakota,Summit League,low,-2,70,0.7,0,90
Jordan Wildy,Lindenwood,72,lindenwood,OVC,low,-2,70,0.7,0,90
Jorge Diaz Graham,Pittsburgh,72,pittsburgh,ACC,tier1,0.8,72.8,1,0,90
Caleb McCarty,South Carolina St.,72,south carolina st,MEAC,low,-2,70,0.7,0,90
Arrinten Page,Cincinnati,72,cincinnati,B12,tier1,0.8,72.8,1,0,90
Kylin Green,Utah Valley,72,utah valley,WAC,mid,-0.4,71.6,0.9,0,90
Jaden Johnson,Old Dominion,72,old dominion,Sun Belt,mid,-0.4,71.6,0.9,0,90
Christopher Flippin,Maryland Eastern Shore,72,maryland eastern shore,MEAC,low,-2,70,0.7,0,90
Jeremiah Hernandez,Ball St.,71.9,ball st,MAC,low,-2,69.9,0.7,0,90
Devan Cambridge,Texas Tech,71.9,texas tech,B12,tier1,0.8,72.7,1,0,90
Kyndall Davis,Louisiana,71.9,louisiana,Sun Belt,mid,-0.4,71.5,0.9,0,90
Alden Applewhite,Murray St.,71.9,murray st,MVC,mid,-0.4,71.5,0.9,0,90
Matija Belic,Wyoming,71.9,wyoming,Mountain West,tier1,0.8,72.7,1,0,90
Elijah Gray,Temple,71.9,temple,AAC,mid,-0.4,71.5,0.9,0,90
Jayden Ross,Connecticut,71.9,connecticut,Big East,tier1,0.8,72.7,1,0,90
Trey Green,Xavier,71.9,xavier,Big East,tier1,0.8,72.7,1,0,90
Breylin Garcia,USC Upstate,71.9,usc upstate,Big South,low,-2,69.9,0.7,0,90
Bryson Tucker,Indiana,71.9,indiana,Big Ten,tier1,0.8,72.7,1,0,90
Dylan Fasoyiro,South Alabama,71.9,south alabama,Sun Belt,mid,-0.4,71.5,0.9,0,90
Josh Meo,Coastal Carolina,71.9,coastal carolina,Sun Belt,mid,-0.4,71.5,0.9,0,90
Drue Drinnon,Texas St.,71.8,texas st,Sun Belt,mid,-0.4,71.39999999999999,0.9,0,90
Dyondre Dominguez,Arkansas St.,71.8,arkansas st,Sun Belt,mid,-0.4,71.39999999999999,0.9,0,90
Louie Jordan,UMBC,71.8,umbc,AEC,low,-2,69.8,0.7,0,90
Terry Anderson,High Point,71.8,high point,Big South,low,-2,69.8,0.7,0,90
Kyran Ratliff,Louisiana,71.8,louisiana,Sun Belt,mid,-0.4,71.39999999999999,0.9,0,90
Kevin Patton Jr.,USC,71.8,usc,Big Ten,tier1,0.8,72.6,1,0,90
Marcel Bryant,Prairie View A&M,71.8,prairie view a m,SWAC,low,-2,69.8,0.7,0,90
Miles Heide,San Diego St.,71.8,san diego st,Mountain West,tier1,0.8,72.6,1,0,90
Ethan Okwuosa,Boston University,71.8,boston university,Patriot,low,-2,69.8,0.7,0,90
Anquan Boldin Jr.,Buffalo,71.8,buffalo,MAC,low,-2,69.8,0.7,0,90
Naheem McLeod,Syracuse,71.7,syracuse,ACC,tier1,0.8,72.5,1,0,90
Dylan Branson,Bellarmine,71.7,bellarmine,ASUN,low,-2,69.7,0.7,0,90
Jalen Blackmon,Miami FL,71.7,miami fl,ACC,tier1,0.8,72.5,1,0,90
Bijan Cortes,Wichita St.,71.7,wichita st,AAC,mid,-0.4,71.3,0.9,0,90
Joshua Beadle,Boston College,71.7,boston college,ACC,tier1,0.8,72.5,1,0,90
K.T. Raimey,UT Rio Grande Valley,71.7,ut rio grande valley,Southland,low,-2,69.7,0.7,0,90
Youri Fritz,Northeastern,71.7,northeastern,CAA,low,-2,69.7,0.7,0,90
Jared Frey,Stony Brook,71.7,stony brook,CAA,low,-2,69.7,0.7,0,90
"Darin Smith, Jr.",Central Connecticut,71.7,central connecticut,NEC,low,-2,69.7,0.7,0,90
Fred Payne,Boston College,71.7,boston college,ACC,tier1,0.8,72.5,1,0,90
Jordan Pennick,Navy,71.7,navy,Patriot,low,-2,69.7,0.7,0,90
Evan Phelps,Texas A&M Commerce,71.7,texas a m commerce,Southland,low,-2,69.7,0.7,0,90
Micah Octave,Alabama St.,71.7,alabama st,SWAC,low,-2,69.7,0.7,0,90
Luke Skaljac,Miami OH,71.7,miami oh,MAC,low,-2,69.7,0.7,0,90
JaJuan Nicholls,Tennessee Tech,71.7,tennessee tech,OVC,low,-2,69.7,0.7,0,90
Messiah Jones,Towson,71.6,towson,CAA,low,-2,69.6,0.7,0,90
Dieonte Miles,Morehead St.,71.6,morehead st,OVC,low,-2,69.6,0.7,0,90
Desmond Polk,SIU Edwardsville,71.6,siu edwardsville,OVC,low,-2,69.6,0.7,0,90
Kehlin Farooq,Texas Southern,71.6,texas southern,SWAC,low,-2,69.6,0.7,0,90
Jason Roche,Richmond,71.6,richmond,A10,mid,-0.4,71.19999999999999,0.9,0,90
Charlie Williams,Lipscomb,71.6,lipscomb,ASUN,low,-2,69.6,0.7,0,90
Sami Pissis,New Hampshire,71.6,new hampshire,AEC,low,-2,69.6,0.7,0,90
Almar Atlason,Bradley,71.6,bradley,MVC,mid,-0.4,71.19999999999999,0.9,0,90
Brandon McCreesh,Bucknell,71.6,bucknell,Patriot,low,-2,69.6,0.7,0,90
Dasear Haskins,Saint Joseph's,71.6,saint joseph s,A10,mid,-0.4,71.19999999999999,0.9,0,90
Omar Cooper,McNeese St.,71.6,mcneese st,Southland,low,-2,69.6,0.7,0,90
Aaron Bradshaw,Ohio St.,71.6,ohio st,Big Ten,tier1,0.8,72.39999999999999,1,0,90
Amier Ali,Arizona St.,71.6,arizona st,B12,tier1,0.8,72.39999999999999,1,0,90
Isaiah Sy,Oregon St.,71.6,oregon st,WCC,mid,-0.4,71.19999999999999,0.9,0,90
Kyle Jorgensen,Colorado St.,71.6,colorado st,Mountain West,tier1,0.8,72.39999999999999,1,0,90
"Wayne Bristol, Jr.",Hampton,71.5,hampton,CAA,low,-2,69.5,0.7,0,90
Ben Knostman,Lehigh,71.5,lehigh,Patriot,low,-2,69.5,0.7,0,90
Wilhelm Breidenbach,Washington,71.5,washington,Big Ten,tier1,0.8,72.3,1,0,90
Stephaun Walker,Old Dominion,71.5,old dominion,Sun Belt,mid,-0.4,71.1,0.9,0,90
Bryce Baker,Winthrop,71.5,winthrop,Big South,low,-2,69.5,0.7,0,90
Jake Ensminger,Santa Clara,71.5,santa clara,WCC,mid,-0.4,71.1,0.9,0,90
Harry Rouhliadeff,Hawaii,71.5,hawaii,Big West,low,-2,69.5,0.7,0,90
Sheridan Sharp,Southern Illinois,71.5,southern illinois,MVC,mid,-0.4,71.1,0.9,0,90
Jaylen Searles,Nicholls St.,71.5,nicholls st,Southland,low,-2,69.5,0.7,0,90
Scotty Middleton,Seton Hall,71.5,seton hall,Big East,tier1,0.8,72.3,1,0,90
Keenan Fitzmorris,Northwestern,71.4,northwestern,Big Ten,tier1,0.8,72.2,1,0,90
Eugene Brown III,Georgia Southern,71.4,georgia southern,Sun Belt,mid,-0.4,71,0.9,0,90
Ryan Myers,Western Illinois,71.4,western illinois,OVC,low,-2,69.4,0.7,0,90
Mac Etienne,La Salle,71.4,la salle,A10,mid,-0.4,71,0.9,0,90
Seth Wilson,Akron,71.4,akron,MAC,low,-2,69.4,0.7,0,90
